Class	Subject	abstract
Stroke	OUTC	"Our objective was to identify factors that contribute to or modify the sex difference in poststroke functional outcome.Ischemic strokes (n=439) were identified from the Brain Attack Surveillance in Corpus Christi (BASIC) Project (2008-2011). Data were ascertained from interviews (baseline and 90 days post stroke) and medical records. Functional outcome was measured as an average of 22 activities of daily living (ADL)/instrumental ADL items (range, 1-4; higher scores worse function). Tobit regression was used to estimate sex differences and to identify confounding and modifying factors.Fifty-one percent were women. Median age was 71 (interquartile range, 59-80) years in women and 64 (interquartile range, 56-77) years in men. Median ADL/instrumental ADL score at 90 days was 2.7 (interquartile range, 1.8-3.6) in women and 2.0 (interquartile range, 1.3-3.1) in men (P<0.01); this difference remained after age-adjustment (P<0.001). Factors contributing to higher ADL/instrumental ADL scores in women included prestroke function, marital status, prestroke cognition, nursing home residence, stroke severity, history of stroke/transient ischemic attack, and body mass index; prestroke function was the largest contributor. Stroke severity modified the sex difference in outcome such that differences were apparent for mild to moderate but not severe strokes. After adjustment, women still had significantly worse functional outcome than men.These findings yield insight into possible strategies and subgroups to target to reduce the sex disparity in stroke outcome; demographics and prestroke and clinical factors explained only 41% of the sex difference in stroke outcome highlighting the need for future research to identify modifiable factors that contribute to sex differences."
Stroke	MANAG	"Sex differences in recombinant tissue-type plasminogen activator (r-tPA) administration are present in some populations. It is unknown whether this is because of eligibility differences or the modifiable exclusion criterion of severe hypertension. Our aim was to investigate sex differences in r-tPA eligibility, in individual exclusion criteria, and in the modifiable exclusion criterion, hypertension.We included all ischemic stroke patients ‰ä´18 years among residents of the Greater Cincinnati/Northern Kentucky region who presented to 16-area emergency departments in 2005. Eligibility for r-tPA and individual exclusion criteria were determined using 2013 American Heart Association (AHA) and European Cooperative Acute Stroke Study (ECASS) III guidelines.Of 1837 ischemic strokes, 58% were women, 24% were black. Mean age in years was 72.2 for women and 66.1 for men. Eligibility for r-tPA was similar by sex (6.8% men and 6.1% women; P=0.55), even after adjusting for age (7.0% and 5.9%; P=0.32). Similar proportions of women and men arrived beyond 3- and 4.5-hour time windows, but more women had severe hypertension. There were no sex differences in blood pressure treatment rates among those with severe hypertension (14.6% women and 20.8% men; P=0.21). More women were >80 years and had National Institutes of Health Stroke Scale (NIHSS) >25.Within a large, biracial population, eligibility for r-tPA was similar by sex. Women were more likely to have the modifiable exclusion criterion of severe hypertension but were not more likely to be treated. Women were more likely to have 2 of the 5 ECASS III exclusion criteria. Undertreatment of hypertension in women is a potentially modifiable contributor to reported differences in r-tPA administration."
Stroke	PP	"Sex differences are well known in cerebral ischemia and may impact the effect of stroke treatments. In male rats, the MEK1/2 inhibitor U0126 reduces ischemia-induced endothelin type B (ETB) receptor upregulation, infarct size and improves acute neurologic function after experimental stroke. However, responses to this treatment in females and long-term effects on outcome are not known. Initial experiments used in vitro organ culture of cerebral arteries, confirming ERK1/2 activation and increased ETB receptor-mediated vasoconstriction in female cerebral arteries. Transient middle cerebral artery occlusion (tMCAO, 120‰Ûäminutes) was induced in female Wistar rats, with U0126 (30‰Ûämg/kg intraperitoneally) or vehicle administered at 0 and 24‰Ûähours of reperfusion, or with no treatment. Infarct volumes were determined and neurologic function was assessed by 6-point and 28-point neuroscores. ETB receptor-mediated contraction was studied with myograph and protein expression with immunohistochemistry. In vitro organ culture and tMCAO resulted in vascular ETB receptor upregulation and activation of ERK1/2 that was prevented by U0126. Although no effect on infarct size, U0126 improved the long-term neurologic function after experimental stroke in female rats. In conclusion, early prevention of the ERK1/2 activation and ETB receptor-mediated vasoconstriction in the cerebral vasculature after ischemic stroke in female rats improves the long-term neurologic outcome. "
Stroke	EPI	"Vitamin D receptor (VDR) is a potential candidate for cardiovascular disease. To date the genetic association of VDR with ischemic stroke has not been explored. In the present study we aimed to evaluate the association between VDR gene variants and ischemic stroke in Asian Indian population. Overall, 557 subjects were investigated that included 313 ischemic stroke patients and 244 control subjects. Four single nucleotide polymorphisms of the VDR gene termed as Fok I, Apa I, Taq I and Bsm I were genotyped by using PCR-RFLP method. The genotype distribution of Bsm I polymorphism was found to deviate from the Hardy-Weinberg equilibrium in control subjects, and hence excluded from the study. Apa I and Taq I polymorphisms were not found to be associated with ischemic stroke. However, presence of ff genotype of Fok I was found to confer 2.97-fold risk of ischemic stroke (95% CI=1.16-7.63, P=0.02) as compared to FF genotype. This association was found to be independent of various demographic and important biochemical covariates including age, gender, smoking, alcohol intake, BMI, and serum glucose, lipid profile, insulin and HOMA-IR, 25-hydroxyvitamin D and plasma NOx levels [OR=2.27, 95% CI=1.25-4.09, P=0.01]. However, adjustment for lipid metabolites attenuated the genetic association [OR=1.68, 95% CI=0.75-3.78, P=0.21]. Fok I polymorphism was also found to be associated with total cholesterol levels; ff genotype carriers were found to have significantly higher cholesterol levels (203.56 å± 30.50mg/dl) as compared to FF carriers (177.38 å± 47.90 mg/dl) (P=0.04). On stratification by gender the genetic association between Fok I polymorphism and ischemic stroke remained significant in females only (OR=2.28, 95% CI=1.15-4.53, P=0.02). This genetic association was also found to attenuate on adjustment with lipid variables. In the present study we could associate the only known functional polymorphism of VDR i.e., Fok I, with ischemic stroke in a gender specific manner. Adjustment with lipid variables was found to attenuate this association indicating that impaired lipid metabolism may be the underlying mechanism of action of this polymorphism which leads to an increase in the risk of ischemic stroke. Further larger scale validations in other population are warranted in other population."
Stroke	PP	"The peripheral immune response contributes to neurodegeneration after stroke yet little is known about how this process differs between males and females. The current study demonstrates that splenectomy prior to experimental stroke eliminates sex differences in infarct volume and activated brain monocytes/microglia. In the periphery of both sexes, activated T cells correlate directly with stroke outcome while monocytes are reduced by splenectomy only in males. This study provides new information about the sex specific mechanisms of the peripheral immune response in neurodegeneration after stroke and demonstrates the need for representation of both sexes in basic and clinical stroke research. "
Stroke	PP	"Stroke in the developing brain is an important cause of neurological morbidity. We determined the impact of human cord blood-derived CD34(+)-enriched mononuclear cells (CBSC) intraperitoneally injected 48‰Ûäh after an ischemic stroke at postnatal day 12 by evaluating poststroke neurogenic niche proliferation, glial response, and recovery in CD1 mice. Percent brain atrophy was quantified from Nissl-stained sections. Density of BrdU, Iba-1, and GFAP staining were quantified in the dentate gyrus and the subventricular zone (SVZ). Immunohistochemistry for human nuclear antibody, human mitochondrial antibody, and human CD34(+) cells was done on injured and uninjured brains from CBSC- and vehicle-treated mice. Developmental neurobehavioral milestones were evaluated pre- and post-treatment. No significant differences in stroke severity were noted between CBSC and vehicle-treated injured animals. With a 1ÌÑ10(5) CBSC dose, there was a significant increase in subgranular zone (SGZ) proliferation in the CBSC-versus vehicle-treated stroke-injured male mice. SVZ glial fibrillary acidic protein (GFAP) expression was increased contralaterally in injured females treated with CBSC but suppressed in injured males. Significant negative correlations between severity of the stroke-injury and spleen weights, and between spleen weights and SGZ proliferation, and a positive correlation between GFAP expression and severity of brain injury were noted in the vehicle-treated injured mice but not in the CBSC-treated mice. GFAP expression and SVZ proliferation were positively correlated. In conclusion, neurogenic niche proliferation and glial brain responses to CBSC after neonatal stroke may involve interactions with the spleen and are sex dependent. "
Stroke	MANAG	"Studies have shown gender disparities in cholesterol care in patients with cardiovascular disease (CVD), with women less likely than men to have low-density lipoprotein cholesterol levels <100åÊmg/dl. Whether this is related to a lower evidence-based statin or high-intensity statin use is not known. We used a national cohort of 972,532 patients with CVD (coronary heart disease, peripheral artery disease, and ischemic stroke) receiving care in 130 Veterans Health Administration facilities from October 1, 2010, to September 30, 2011, to identify the proportion of male and female patients with CVD receiving any statin and high-intensity statin. Women with CVD (nåÊ= 13,371) were less likely than men to receive statins (57.6% vs 64.8%, p <0.0001) or high-intensity statins (21.1% vs 23.6%, p <0.0001). Mean low-density lipoprotein cholesterol levels (99 vs 85åÊmg/dl) were higher in women compared with men (p <0.0001). In adjusted models, female gender was independently associated with a lower likelihood of receiving statins (odds ratio 0.68, 95% confidence interval 0.66 to 0.71) or high-intensity statins (odds ratio 0.76, 95% confidence interval 0.73 to 0.80). The median facility-level rate of statin and high-intensity statin use among female patients (57.3% [interquartile rangeåÊ= 8.93%] for statin, 20% [interquartile rangeåÊ= 7.7%] for high-intensity statin use) showed significant variation. In conclusion, women with CVD are less likely to receive evidence-based statin and high-intensity statins compared with men, although, their use remains low in both genders. There is a significant facility-level variation in evidence-based statin or high-intensity statin use in female patients with CVD. With the ""statin dose-based approach"" proposed by the recent cholesterol guidelines, these results highlight areas for quality improvement. "
Stroke	REVIEW	"The steroid hormone 17b-estradiol and the peptide hormone insulin-like growth factor (IGF)-1 independently exert neuroprotective actions in neurologic diseases such as stroke. Only a few studies have directly addressed the interaction between the two hormone systems, however, there is a large literature that indicates potentially greater interactions between the 17b-estradiol and IGF-1 systems. The present review focuses on key issues related to this interaction including IGF-1 and sex differences and common activation of second messenger systems. Using ischemic stroke as a case study, this review also focuses on independent and cooperative actions of estrogen and IGF-1 on neuroprotection, blood brain barrier integrity, angiogenesis, inflammation and post-stroke epilepsy. Finally, the review also focuses on the astrocyte, a key mediator of post stroke repair, as a local source of 17b-estradiol and IGF-1. This review thus highlights areas where significant new research is needed to clarify the interactions between these two neuroprotectants. "
Stroke	MANAG	"Previous literature has shown gender disparities in the care of acute ischemic stroke. Compared to men, women wait longer for brain imaging and are less likely to receive intravenous (IV) tissue plasminogen activator (tPA). Emergency department (ED) triage is an important step in the rapid assessment of stroke patients and is a possible contributor to disparities. It is unknown whether gender differences exist in ED triage of acute stroke patients. Our primary objective was to determine whether gender disparities exist in the triage of acute stroke patients as defined by Emergency Severity Index (ESI) levels and use of ED critical care beds.This was a retrospective, observational study of both ischemic and hemorrhagic stroke patients age ‰ä´18 years presenting to a large, urban, academic ED within six hours of symptom onset between January 2010, and December 2012. Primary outcomes were triage to a non-critical ED bed and Emergency Severity Index (ESI) level. Primary outcome data were extracted from electronic medical records by a blinded data manager; secondary outcome data and covariates were abstracted by trained research assistants. We performed bivariate and multivariate analyses. Logistic regression was performed using age, race, insurance status, mode of and time to arrival, National Institutes of Health Stroke Scale, and presence of atypical symptoms as covariates.There were 537 patients included in this study. Women were older (75.6 vs. 69.5, p<0.001), and more women had a history of atrial fibrillation (39.8% vs. 25.3%, p<0.001). Compared to 9.5% of men, 10.3% of women were triaged to a non-critical care ED bed (p=0.77); 92.1% of women were triaged as ESI 1 or 2 vs. 93.6% of men (p=0.53). After adjustment, gender was not associated with triage location or ESI level, though atypical symptoms were associated with higher odds of being triaged to a non-critical care bed (aOR 1.98, 95%CI [1.03 - 3.81]) and 3.04 times higher odds of being triaged as ESI 3 vs. ESI 1 or 2 (95% CI [1.36 - 6.82]).In a large, urban, academic ED at a primary stroke center, there were no gender differences in triage to critical care beds or ESI levels among acute stroke patients arriving within six hours of symptom onset. These findings suggest that ED triage protocols for stroke patients may be effective in minimizing gender disparities in care."
Stroke	MANAG	"Minocycline as an antibiotic has been found to have neuroprotective effect on neurodegenerative diseases. This study was aimed at determining the efficacy of minocycline adjunct to aspirin in improving neurological outcomes of ischemic stroke during 3-month follow-up.In an open-label evaluator-blinded trial, 60 patients with ischemic stroke were allocated into two groups to receive either 200 mg of oral minocycline daily for 5 days during 6-24 h following onset of signs and symptoms, or not receiving any, as control; all patients also received 100 mg of aspirin daily. Clinical assessment at baseline and on days 30, 60, and 90 was performed using National Institutes of Health Stroke Scale (NIHSS) score.Fifty-three patients (88.3%) completed the study. Females in the treatment and control groups were 53.8% and 51.9%, respectively (P = 0.884). Among all patients, NIHSS score was significantly lower in the minocycline-treated compared with control on day 90 (minocycline median 4, interquartile range 4-7, control median 7, interquartile range 5-8, P = 0.031). Among males, NIHSS was lower in minocycline-treated compared with controls on days 30, 60, and 90 (P < 0.05); however, females showed no significant differences at the same times compared with controls. No adverse outcomes including myocardial infarction, recurrent stroke, and mortality were observed in the both groups.Patients with ischemic stroke who received oral minocycline daily for 5 days had significantly better neurological outcomes on day 90 than controls. However, females showed no significant clinical improvement compared to males."
