Pubmed_ID,Review,Author,Title,Journal,Year,Subject,Species,Nr patients,Unnamed: 10,abstract
25655011,No," Carolyn S P Lam Affiliation=National University Health System, Tower Block Level 9, 1E Kent Ridge Road, Singapore, 119228.,",Sex differences in clinical characteristics and outcomes after myocardial infarction: insights from the Valsartan in Acute Myocardial Infarction Trial (VALIANT).,European journal of heart failure,2015 Mar,EPI,Human,14703,,"We examined the association of sex with clinical characteristics and outcomes in patients following myocardial infarction (MI) in the Valsartan in Acute Myocardial Infarction Trial (VALIANT).A total of 4570 women and 10 133 men with heart failure (HF), left ventricular systolic dysfunction or both were enrolled 0.5-10 days after myocardial infarction (MI) and followed for a median of 24.7 months. Compared with men, women were older, had more comorbidities, and were more likely to present in Killip Class III/IV and experience post-infarction angina or HF. After adjusting for baseline differences, both short-term and longer-term mortality were similar in men and women. However, women were more likely than men to experience the composite outcome of cardiovascular death, MI, HF, stroke, and resuscitation from cardiac arrest [adjusted hazard ratio (HR) 1.15; 95% confidence interval (CI); 1.06-1.24, P=0.001], mainly owing to an increased risk of hospitalization for HF (adjusted HR 1.36; 95% CI 1.22-1.52; P<0.001). In a subset of patients who underwent echocardiographic study (n=603), women had smaller left ventricular volumes indexed by body size than men but similar ejection fractions and similar changes in ventricular volumes from baseline to 1 month and 20 months.In VALIANT, the risk of HF following MI was higher in women than men after adjusting for age and comorbidities, although the risk of other fatal and non-fatal outcomes were similar. The higher long-term risk of HF in women appears to be independent of the extent of left ventricular systolic dysfunction or remodelling compared with men."
25175547,No," Alexander Weymann Affiliation=Department of Cardiothoracic Transplantation and Mechanical Circulatory Support, Royal Brompton & Harefield NHS Foundation Trust, London, UK,",Gender differences in continuous-flow left ventricular assist device therapy as a bridge to transplantation: a risk-adjusted comparison using a propensity score-matching analysis.,Artificial organs,2015 Mar,MANAG,Human,48,,"The purpose of this study was to evaluate gender differences regarding outcome after continuous-flow left ventricular assist device (cfLVAD) implantation. The study was a retrospective review of prospectively collected data. Included were 24 consecutive female cfLVAD recipients and 24 male recipients (62.5% HeartMate II, 37.5% HeartWare) who received their devices between July 2007 and May 2013. Subjects were matched using propensity score analysis based on age, diagnosis, body surface area, preoperative mechanical circulatory support, heart failure severity score (INTERMACS class), and comorbidities. Female patients were significantly sicker before operation. After propensity score matching, there were no statistically significant differences in demographics or clinical baseline characteristics between male and female LVAD recipients. Also, there was a trend towards a longer postoperative intensive care unit stay in the female group (median 9 days [interquartile range 5-17] versus 15 days [interquartile range 8-33]; P < 0.061) and higher postoperative bilirubin values (median 14 mmol/L [interquartile range 10-17] versus 21 mmol/L [interquartile range 13-30]). However, there were no significant differences between the two groups in terms of outcome (P < 0.569). The overall survival was comparable between the two groups (log rank P < 0.389). Half (50%) of female patients required inotropic support for more than 7 days compared with 21.7% in the male group (P < 0.048). Half (50%) of female recipients required short-term postoperative right ventricular assist device implantation compared with 16.7% in the male group (P < 0.014). In conclusion, cfLVAD implantation as a bridge to transplantation is associated with longer duration of inotropic support and higher requirement for postoperative mechanical right ventricular support in women with similar survival rates. Further studies are required to identify additional demographic and clinical factors that modulate outcomes and will enhance the ability to risk-stratify cfLVAD recipients. "
25210024,No," J Sj√É¬∂blom Affiliation=Division of Cardiovascular Medicine, Department of Clinical Sciences, Karolinska Institutet, Danderyds Hospital, Danderyd University Hospital, 18288 Stockholm, Sweden johanna.sjoblom@ds.se.,",Efficacy of primary preventive ICD therapy in an unselected population of patients with reduced left ventricular ejection fraction.,"Europace : European pacing, arrhythmias, and cardiac electrophysiology : journal of the working groups on cardiac pacing, arrhythmias, and cardiac cellular electrophysiology of the European Society of Cardiology",2015 Feb,MANAG,Human,865,,"International guidelines advocate an implantable cardioverter and defibrillator (ICD) in patients with reduced left ventricular ejection fraction (LVEF) to prevent sudden death (SCD). Previous data suggest that the benefit of ICD therapy in real life may be lower than expected from the results of controlled studies and side-effects are not negligible. It is also unclear whether women benefit from treatment to the same extent as men. The aim of this study was to investigate the balance between benefits and complications of ICD therapy in a real-life population of patients with heart failure.We studied 865 consecutive patients with reduced LVEF treated with ICDs for primary prevention of SCD in 2006-11 in four tertiary care hospitals in Sweden (age 64 ± 11 years, 82% men, 62% ischaemic). The patients' medical records were scrutinized as regards appropriate therapies, complications related to the defibrillator, all-cause mortality, and gender differences. Mean follow-up was 35 ± 18 months. During follow-up 155 patients (18%) received appropriate ICD therapy, 61 patients (7%) had inappropriate shocks, 110 patients (13%) had at least one complication that required reoperation and 213 patients (25%) died. Men were twice as likely to receive ICD treatment compared with women (20 vs. 9%, P < 0.01), but neither total mortality nor complication rates differed.Ventricular arrhythmias necessitating ICD therapy are common (6% annually). Women are less likely to have correct ICD treatment, but have the same degree of treatment complications, thus reducing the net benefit of their treatment."
23975013,No," Linda L Steele Affiliation=Walden University, Minneapolis, MN, USA, lsteele426@aol.com.,",Heart failure outcomes based on race and gender of patients in a medically undeserved area.,Journal of immigrant and minority health / Center for Minority Public Health,2015 Feb,OUTC,Human,53,,"The purpose of this descriptive study was to investigate changes in quality of life (QoL), disease severity and exercise tolerance of heart failure (HF) patients in a medically underserved clinic based on race and gender. Despite advances in the treatment of HF over the past decade, incidence, morbidity and mortality for patients continue to rise while QoL declines. HF is common in African-Americans and women; however, there is limited research focusing on race and gender variables. Health related QoL, disease severity measured by B-type natriuretic peptide blood test (BNP) and ejection fraction (EF), and exercise tolerance measured by six minute walk test (6MWT) were assessed at admission and at 6 months in a convenience sample of 53 patients. Variables were compared by race and gender. The sample was 67.9% African American and 62.3% male. Men had greater improvements than women in QoL, BNP, and EF, while women had greater improvements in the 6MWT. African Americans had greater improvements than Whites in all four variables. Even in the presence of disease severity in patients with New York Heart Association (NYHA) Class III and IV HF, there were significant improvements in QoL, BNP, HF outcomes demonstrating the importance of developing culturally sensitive and gender-specific treatment plans."
25614387,Yes," H den Ruijter Affiliation=Experimental Cardiology Laboratory, University Medical Center, Utrecht, the Netherlands.,",Heart failure with preserved ejection fraction in women: the Dutch Queen of Hearts program.,Netherlands heart journal : monthly journal of the Netherlands Society of Cardiology and the Netherlands Heart Foundation,2015 Feb,REVIEW,Human,na,,"Heart failure (HF) poses a heavy burden on patients, their families and society. The syndrome of HF comes in two types: with reduced ejection fraction (HFrEF) and preserved ejection fraction (HFpEF). The latter is on the increase and predominantly present in women, especially the older ones. There is an urgent need for mortality-reducing drugs in HFpEF, a disease affecting around 5 % of those aged 65 years and over. HFpEF develops in patients with risk factors and comorbidities such as obesity, hypertension, diabetes, COPD, but also preeclampsia. These conditions are likely to drive microvascular disease with involvement of the coronary microvasculature, which may eventually evolve into HFpEF. Currently, the diagnosis of HFPEF relies mainly on echocardiography. There are no biomarkers that can help diagnose female microvascular disease or facilitate the diagnosis of (early stages of) HFpEF. Recently a Dutch consortium was initiated, Queen of Hearts, with support from the Netherlands Heart Foundation, with the aim to discover and validate biomarkers for diastolic dysfunction and HFpEF in women. These biomarkers come from innovative blood-derived sources such as extracellular vesicles and circulating cells. Within the Queen of Hearts consortium, we will pursue female biomarkers that have the potential for further evolution in assays with point of care capabilities. As a spin-off, the consortium will gain knowledge on gender-specific pathology of HFpEF, possibly opening up novel treatment options. "
25398254,No," Sven Meyer Affiliation=Department of Cardiology, University Medical Center Groningen, University of Groningen, Hanzeplein 1, P.O. Box 30001, 9700 RB, Groningen, The Netherlands, s.meyer@umcg.nl.,",Sex differences in new-onset heart failure.,Clinical research in cardiology : official journal of the German Cardiac Society,2015 Apr,CLIN,Human,8592,,"Sex differences in patients with established heart failure have been well described, but much less is known in the development of heart failure.We studied sex-specific incidence and risk of new-onset heart failure in 8592 subjects (mean age 49.2 ± 12.7 years; 50.1 % women) of the Prevention of REnal and Vascular ENdstage Disease (PREVEND) study and distinguished reduced and preserved ejection fraction (HFrEF <40 % and HFpEF >50 %).Of 374 cases with incident heart failure, 241 (64.4 %) occurred in men and 133 (35.6 %) in women (median follow-up 12.5 years; 96,550 person-years). Men developed heart failure earlier (7.0 vs. 8.6 years; P < 0.001). Incidence rates per 1,000 person-years in women compared to men were lower for HFrEF (1.2 vs. 3.0 %; P < 0.001), but higher for HFpEF (1.2 vs. 0.7 %; P < 0.001). Women developed HFpEF later in life than HFrEF (75.1 vs. 69.7 years; P = 0.033), while men showed no significant difference (72.2 vs. 69.5 years; P = 0.116). Multivariable competing risks analyses showed that women had lower risk for HFrEF (subhazard ratio = 0.47; 95 % CI 0.29-0.76, P = 0.002) but higher risk for HFpEF (subhazard ratio = 2.16; 95 % CI 1.21-3.83, P = 0.009) than men. Among all risk factors, only atrial fibrillation had a sex-specific predictive value and increased risk specifically for women (P-for interaction = 0.016).In a middle-aged population, men developed heart failure more frequently and at a younger age than women. However, women had higher risk for HFpEF, with atrial fibrillation being a specific female risk factor."
25793483,Yes," Naomi D Herz Affiliation=Center for Devices and Radiological Health, United States Food and Drug Administration , Silver Spring, Maryland.,","Sex differences in device therapy for heart failure: utilization, outcomes, and adverse events.",Journal of women's health (2002),2015 Apr,REVIEW,Human,na,,"Multiple studies of heart failure patients demonstrated significant improvement in exercise capacity, quality of life, cardiac left ventricular function, and survival from cardiac resynchronization therapy (CRT), but the underenrollment of women in these studies is notable. Etiological and pathophysiological differences may result in different outcomes in response to this treatment by sex. The observed disproportionate representation of women suggests that many women with heart failure either do not meet current clinical criteria to receive CRT in trials or are not properly recruited and maintained in these studies.We performed a systematic literature review through May 2014 of clinical trials and registries of CRT use that stratified outcomes by sex or reported percent women included. One-hundred eighty-three studies contained sex-specific information.Ninety percent of the studies evaluated included ≤ 35% women. Fifty-six articles included effectiveness data that reported response with regard to specific outcome parameters. When compared with men, women exhibited more dramatic improvement in specific parameters. In the studies reporting hazard ratios for hospitalization or death, women generally had greater benefit from CRT.Our review confirms women are markedly underrepresented in CRT trials, and when a CRT device is implanted, women have a therapeutic response that is equivalent to or better than in men, while there is no difference in adverse events reported by sex."
25633565,Yes," Anne L Taylor Affiliation=Columbia University Medical Center, 630 W. 168th Street, PH 1-132, New York, NY, 10032, USA, alt2127@cumc.columbia.edu.,",Heart failure in women.,Current heart failure reports,2015 Apr,REVIEW,Human,na,,"Heart failure (HF) is increasing in incidence globally, and approximately half of all HF patients are women. When women and men with HF are compared, there are significant differences in disease etiology, expression, outcomes, and perhaps, response to therapy. Hypertension rather than coronary artery disease is a more important etiology of HF in women, and HF with preserved left ventricular ejection fraction (HFPEF) is more common in women. Regardless of its etiology, women have better survival and less sudden cardiac death, but poorer quality of life with equivalent degrees of left ventricular dysfunction. Animal studies of myocardial response to stressors resulting in heart failure corroborate sex differences in ventricular remodeling, cellular morphology, and function. Despite the fact that women make up nearly 50 % of HF patients, their inclusion in randomized clinical trials has remained at about 20 %, with no trials including women as a prespecified subgroup for statistical analysis. Thus, the evidence base for treatment of HF in women is not robustly supported by sex-specific data."
25373384,No," Jennifer Franke Affiliation=Department of Cardiology, University of Heidelberg, Im Neuenheimer Feld 410, 69120, Heidelberg, Germany, Jennifer.Franke@med.uni-heidelberg.de.,",Gender aspects in clinical presentation and prognostication of chronic heart failure according to NT-proBNP and the Heart Failure Survival Score.,Clinical research in cardiology : official journal of the German Cardiac Society,2015 Apr,CLIN,Human,2549,,"We performed a prospective multi-center study to assess gender-specific differences in the predictive value of the measured level of NT-proBNP and the calculated Heart Failure Survival Score (HFSS).Baseline characteristics and follow-up data up to 5 years from 2,019 men and 530 women diagnosed with chronic heart failure (CHF) due to ischemic heart disease or dilated cardiomyopathy were prospectively compared. Death from any cause constituted the endpoint of the study. NT-proBNP was measured and HFSS calculated according to standard methods. Survival of men and women according to level of NT-proBNP and HFSS was analyzed in logistic regression models.Median NT-proBNP level in men was 1,394 ng/l (IQR 516-3,406 ng/l) and 1,168 ng/l (IQR 444-2,830 ng/l) in women (p = n.s.). Median HFSS value was 8.4 (IQR 7.7-9.1) and 8.5 (8.0-9.1) in men and women, respectively. NT-proBNP levels and HFSS score correlated well with survival rates in both genders (p for interaction = 0.22 for NT-proBNP and 0.93 for HFSS). The all-cause death rates were similar in men and women.Despite a number of gender-specific differences in CHF and the general predominance of men measured levels of NT-proBNP and HFSS score can be utilized for risk stratification with similar informative value in men and women."
24781675,No," Josephine M Keyzer,",Age- and gender-specific brain natriuretic peptide (BNP) reference ranges in primary care.,Clinical chemistry and laboratory medicine : CCLM / FESCC,2014 Sep,CLIN,Human,9447,,"Chronic heart failure is a common disease with a high morbidity and mortality. In primary care, brain natriuretic peptide (BNP) is used for excluding heart failure. The Dutch and European Society of Cardiology heart failure guidelines apply two BNP cut-off levels without making distinction for gender and age. The aim of our study was to establish BNP reference ranges for use in primary care.We investigated BNP values of 9447 eligible subjects in a primary care laboratory. For establishing the reference ranges in various age and gender classes we used the Bhattacharya method.Analysis of variance demonstrated that BNP data were significantly dependent on age and gender (p<0.001 and p=0.002, respectively), with the age effect being the strongest. Further, we found that the reference ranges were significantly higher than the cut-off values used in the heart failure guidelines, particularly in elderly subjects. For example, the proportion of individuals with a BNP value higher than the 29 pmol/L cut-off increased from approximately 5% in the youngest group to no less than about 50% in the oldest subjects.BNP reference ranges need to be age- and gender-specific. When applying a single cut-off, many healthy subjects, especially the elderly, would be falsely diagnosed as having elevated BNP, and referred for further unnecessary diagnostics."
