Pubmed_ID,Review,Author,Title,Journal,Year,Subject,Species,Nr patients,abstract
25388590,No," P Mota Affiliation=Unit of Medical Genetics, Faculty of Medicine, University of Coimbra, Coimbra, Portugal, motapaula8@gmail.com.,",Genetic polymorphisms of phase I and phase II metabolic enzymes as modulators of lung cancer susceptibility.,Journal of cancer research and clinical oncology,2015 May,PP,Human,447,"Tobacco exposure remains the main etiologic factor for lung cancer (LC). Interactions between environment and individual genetic profile are particularly important for this disease. The aim of this study was to evaluate the contribution of CYP1A1*2A, CYP1A1*2C, CYP2D6*4, GSTP1, GSTM1, GSTT1 and NAT2 polymorphisms for the susceptibility to LC in a Portuguese population considering their demographic and clinical characteristics.A total of 200 LC and 247 controls subjects from the Centre of Portugal were studied. Clinical and demographic characteristics were collected from clinical files and by individual questionnaires. Polymorphisms of CYP1A1*2A, CYP1A1*2C, CYP2D6*4, GSTP1, GSTM1, GSTT1 and NAT2 were genotyped using PCR-RFLP, PCR multiplex, ARMS and real time.Gender, family history of cancer, smoke cessation and alcohol consumption were independent risk factors (p < 0.05). Associations found between phases I and II genes and LC population reveal a sex dependent distribution. Logistic regression analysis demonstrates that enhanced activation by CYPs, associated by reduced or loss of function of phase II enzymes, can lead to a greater risk. GSTP1 and NAT2 polymorphisms studied have a significant contribution for the histological tumour types and the presence of metastases, at time of diagnosis, respectively, when males with smoking habits were considered.Multiple interactions between environment and individual characteristics are clearly associated to this disease. Variants of the detoxification genes may act synergistically contributing to this disease and modifying the risk posed by smoking and sex. The GSTT1*0 and GSTP1 (Ile462Val) might contribute to the malignant phenotype through different mechanisms."
25634180,No," Chia-Hao Chang Affiliation=From the Department of Internal Medicine (C-HC), National Taiwan University Hospital, HsinChu,",Gender-based impact of epidermal growth factor receptor mutation in patients with nonsmall cell lung cancer and previous tuberculosis.,Medicine,2015 Jan,OUTC,Human,8265,"The association between tuberculosis (TB) and lung cancer is well known. However, carcinogenesis of TB and its connection with epidermal growth factor receptor (EGFR) mutation remains unclear. This study aimed to determine this connection to see if TB can affect the outcome of patients with lung cancer. This is a retrospective cohort study of patients with lung cancer receiving EGFR-tyrosine kinase inhibitors (TKIs) between 1996 and 2010 using the National Health Insurance Research Database of Taiwan. Because therapeutic response was required to apply EGFR-TKIs for >90 days, only patients with a follow-up of >120 days were studied and a responder was defined as intake of EGFR-TKIs >90 days. Predictors of EGFR-TKI response and survival were identified using logistic and Cox regression analyses, respectively. There were 8265 patients analyzed, including 6073 (73.5%) EGFR-TKI responder and 2192 (26.5%) nonresponder. A history of TB was found in 1.2% and 1.8% of the 2 groups, respectively. Comparing to male with pulmonary TB history, female with or without pulmonary TB history and male without pulmonary TB history all had a better EGFR-TKI response and 1-year progression-free survival (PFS). Gender and TB history were not independent prognostic factors of 2-year overall survival. The findings were similar in the subpopulation without chronic obstructive pulmonary disease, malignancies other than lung cancer, and low-income status. TB has a gender-dependent impact, with better EGFR-TKI response and 1-year PFS in female patients with lung cancer. The carcinogenesis and inflammation of TB may be different between genders."
25634179,No," Zhi-Hong Jian Affiliation=From the Department of Public Health and Institute of Public Health (Z-HJ, J-YH, P-CK, S-RJ, ONN, C-CL, W-YK, Y-PL), Chung Shan Medical University,",Impact of coexisting pulmonary diseases on survival of patients with lung adenocarcinoma: a STROBE-compliant article.,Medicine,2015 Jan,OUTC,Human,13399,"Asthma, chronic obstructive pulmonary disease (COPD), and pulmonary tuberculosis (TB) are common pulmonary diseases associated with lung cancer. Besides, smoking is more prevalent in Taiwanese men. This study evaluated gender disparities in coexisting pulmonary diseases on survival of patients with lung adenocarcinoma. Patients newly diagnosed with lung cancer between 2003 and 2008 were identified from Taiwan National Health Insurance Research Database. Cases with lung adenocarcinoma were further confirmed using the Cancer Registry Database and followed up until the end of 2010. Cox proportional hazard regression was used to calculate the hazard ratio (HR) of coexisting asthma, COPD, and/or TB to estimate all-cause mortality risk. During the study period, 13,399 cases of lung adenocarcinoma were identified. The HRs of adenocarcinoma in men and women were 1.20 (95% confidence interval [CI], 1.10-1.30) and 1.05 (95% CI, 0.95-1.16), respectively, for individuals with asthma, 1.32 (95% CI, 1.16-1.51) and 0.97 (95% CI, 0.89-1.05), respectively, for COPD, and 0.99 (95% CI, 0.93-1.06) and 1.06 (95% CI, 0.86-1.32), respectively, for individuals with TB. Specifically, among men with coexisting pulmonary diseases, the HRs were 1.63 (95% CI, 1.25-2.13), 1.31 (95% CI, 1.08-1.59), and 1.23 (95% CI, 1.11-1.36) for individuals with asthma + COPD + TB, asthma + COPD, and COPD + TB, respectively. However, there was no increase risk of mortality among women with coexisting pulmonary diseases. Coexisting pulmonary diseases are at an elevated risk of mortality among male patients with lung adenocarcinoma. Such patients deserve greater attention while undergoing cancer treatment."
25684531,No," Arife Ulas Affiliation=Department of Medical Oncology, Ankara Ataturk Training and Research Hospital, Ankara, Turkey E-mail : drarifeulas@ hotmail.com.,","Lung cancer in women, a different disease: survival differences by sex in Turkey.",Asian Pacific journal of cancer prevention : APJCP,2015,OUTC,Human,844,"In this study, we aimed to evaluate the effects of sex-based non-small cell lung cancer (NSCLC) varieties on survival rates.A retrospective study was performed in patients with NSCLC who were diagnosed by histological methods between the years 2000 and 2010. A chi-square test was used to compare variables. Overall survival (OS) was estimated by the Kaplan-Meier method.Of the 844 patients, 117 (13.9%) were women and 727 (86.1%) were men. Adenocarcinoma was more common in women than in men (p<0.0001). There were more women non-smokers than men (p<0.0001). There was no statistically significant difference in ECOG PS, weight loss>10%, stage, LDH, albumin and treatment between women and men. Women younger than 65 years (17.0 vs 12.0 months; p=0.03), who had adenocarcinoma histology (15.0 vs 10.0 months; p=0.006) and who had a hemoglobin level≥12 g/dL (18.0 vs 12.0 months; p=0.01) were found to have a better median OS rate than men. Median OS rates were found to be 13.0 months in females and 12.0 months in males (p=0.14). Among metastatic patients, the median OS was 11.0 months in females and 8.0 months in males (p=0.005). Among stage IIIB and stage IV patients who had first line platinum-based chemotherapy, the median OS was 17.0 months in women and 11.0 months in men (p=0.002). The response rate of chemotherapy was higher in women than in men (p=0.03).In our study, we found that survival duration is longer and chemotherapy response is better in women with NSCLC who do not have anemia or comorbidities and who are mostly non-smokers with adenocarcinomas. Further studies regarding the causes of these differences may provide clarity on this subject."
24752563,No," Jenny McGreevy Affiliation=Department of Learning, Informatics, Management and Ethics, Karolinska Institutet, Stockholm, Sweden, jenny.mcgreevy@virginmedia.com.,",Characteristics of taste and smell alterations reported by patients after starting treatment for lung cancer.,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,2014 Oct,CLIN,Human,89,"Taste and smell alterations (TSAs) in patients with lung cancer are poorly understood. This study investigates characteristics of TSAs when most severe, reported by patients after starting treatment for lung cancer.Data was collected regarding TSAs, symptoms, food intake and nutritional status through structured interviews using the Taste and Smell Survey, the Patient-Generated Subjective Global Assessment and 3-day food diaries. This data derives from a longitudinal project and the interview with each patient when TSAs were most severe was purposefully selected for analysis.Sixty-one of the 89 patients reported TSAs, and the TSAs group were on average younger and more frequently smokers. Thirty-one patients reported symptoms impacting negatively on food intake, with 87 % in the TSAs group and 13 % in the no-TSAs group. Most commonly reported were loss of appetite, nausea and early satiety. Gender differences were seen with more women reporting stronger sensation(s) and more men reporting weaker sensation(s) and other changes. TSAs were described as affecting enjoyment of food and eating. A trend was seen where energy intakes declined with increasing TSAs. Energy intakes in the total study population were below recommended.TSAs varied in characteristics and interacted with other symptoms. Gender differences may highlight a need to investigate approaches for identification and management of TSAs in men and women. Patients reported TSAs impacting on food enjoyment, and the hypothesis that patients with higher TSS scores have lower nutritional intakes should be followed up with a larger study in the lung cancer population."
25029249,No," Katja Kurz Affiliation=Institut f√É¬ºr Psychosoziale Medizin und Psychotherapie, Universit√É¬§tsklinikum Jena, Friedrich-Schiller-Universit√É¬§t Jena.,",[Gender differences in mental distress of patients with lung cancer and their partners].,"Psychotherapie, Psychosomatik, medizinische Psychologie",2014 Nov,EPI,Human,na,"In a prospective uncontrolled observational study we investigated the influence of gender, resilience, and marital satisfaction on mental distress of patients suffering from lung cancer and their partners. Female patients and partners report-ed impaired physical and mental health as well as lower resilience and marital satisfaction than males. Mental distress was negatively associated with resilience and marital satisfaction, both, in patients and their partners. We found a partial mediation effect of resilience and marital satisfaction on the relationship between gender and mental distress. Taking these results into account, particularly female patients and partners should preferably receive psychooncological support. "
25433585,No," D Debieuvre Affiliation=Service de pneumologie, h√É¬¥pital √É‚Ä∞mile-Muller, 20, avenue du Docteur-Ren√É¬©-Laennec, 68070 Mulhouse, France. Electronic address: debieuvred@ch-mulhouse.fr.,",[Ten-year evolution in non-small-cell lung cancer according to sex. Results of the KBP-2010-CPHG study by the College of General Hospital Respiratory Physicians].,Revue des maladies respiratoires,2014 Nov,EPI,Human,6083,"Comparison by sex and presenting features between 2000 and 2010 of the characteristics of new cases of non-small-cell lung cancer (NSCLC).Observational KBP-2010-CPHG study similar to KBP-2000-CPHG. Both studies were promoted by the French College of General Hospital Respiratory Physicians (CPHG). KBP-2010-CPHG collected data for 6083 NSCLC diagnosed between January 1st and December 31st, 2010, and followed in the respiratory departments of 119 French general hospitals.In 2010, 24.4 % of the patients were women (16 % in 2000, p<0.0001). Compared to men, women were more commonly non-smokers (34.2 vs 4.7 %) or lighter consumers (37.2 vs 43.7 pack per years) (p<0.0001). Their tumours (mostly adenocarcinoma: 64.6 vs 48.7 %, p<0.0001) were more frequently diagnosed at stage IV (62.4 vs 56.9 %, p=0.0008). EGFR mutation research was more frequently performed (48.5 vs 31.0 %, p<0.0001) and positive (20.6 vs 5.2 %, p<0.0001) in women than men. Their treatment more frequently included targeted therapy (13.4 vs 5.7 %, p<0.0001). Compared to 2000, the percentage of non-smokers increased in men (4.7 vs 2.5 %, p<0.0001) while remaining stable in women (36.1 vs 34.2 %, p=0.32). The percentage of adenocarcinomas increased, particularly in men (48.7 vs 31.5 %, p<0.0001).The percentage of women with NSCLC has increased in 10years in France. In 2010, the main gender differences persist, but have decreased with the increasing proportion of non-smokers and adenocarcinomas in men. Various hypotheses to explain these changes are discussed."
24277573,Yes," J Remon Affiliation=Hospital de Matar√É¬≥, Carretera de la cirera s/n, 08304, Matar√É¬≥, Spain, jremon@csdm.cat.,",Lung cancer in women: an overview with special focus on Spanish women.,Clinical & translational oncology : official publication of the Federation of Spanish Oncology Societies and of the National Cancer Institute of Mexico,2014 Jun,REVIEW,Human,na,"Lung cancer incidence is decreasing worldwide among men but rising among women due to recent changes in smoking patterns in both sexes. In Europe, the smoking epidemic has evolved different rates and times, and policy responses to it, vary substantially between countries. Differences in smoking prevalence are much more evident among European women reflecting the heterogeneity in cancer incidence rates. Other factors rather than smoking and linked to sex may increase women's susceptibility to lung cancer, such as genetic predisposition, exposure to sex hormones and molecular features, all of them linked to epidemiologic and clinical characteristics of lung cancer in women. However, biological bases of sex-specific differences are controversial and need further evaluation. This review focuses on the epidemiology and outcome concerning non-small cell lung cancer in women, with emphasis given to the Spanish population. "
25018206,No," Cornelius Nattey Affiliation=National Institute for Occupational Health, National Health Laboratory Service, Johannesburg, Gauteng, South AfricaNational Cancer Registry, National Health Laboratory Service, Johannesburg, Gauteng, South Africa.,","0342√¢‚Ç¨‚Ä¶Lung cancer risk attributable to occupation: in a case control study in black South Africans, 2001-2008.",Occupational and environmental medicine,2014 Jun,EPI,Human,1699,
24726742,No," Betty C Tong Affiliation=Section of Thoracic Surgery, Department of Surgery, Duke University Medical Center, Durham, NC. Electronic address: betty.tong@duke.edu.,",Sex differences in early outcomes after lung cancer resection: analysis of the Society of Thoracic Surgeons General Thoracic Database.,The Journal of thoracic and cardiovascular surgery,2014 Jul,MANAG,Human,34188,"Women with lung cancer have superior long-term survival outcomes compared with men, independent of stage. The cause of this disparity is unknown. For patients undergoing lung cancer resection, these survival differences could be due, in part, to relatively better perioperative outcomes for women. This study was undertaken to determine differences in perioperative outcomes after lung cancer surgery on the basis of sex.The Society of Thoracic Surgeons' General Thoracic Database was queried for all patients undergoing resection of lung cancer between 2002 and 2010. Postoperative complications were analyzed with respect to sex. Univariable analysis was performed, followed by multivariable modeling to determine significant risk factors for postoperative morbidity and mortality.A total of 34,188 patients (16,643 men and 17,545 women) were considered. Univariable analysis demonstrated statistically significant differences in postoperative complications favoring women in all categories of postoperative complications. Women also had lower in-hospital and 30-day mortality (odds ratio, 0.56; 95% confidence interval, 0.44-0.71; P < .001). Multivariable analysis demonstrated that several preoperative conditions independently predicted 30-day mortality: male sex, increasing age, lower diffusion capacity, renal insufficiency, preoperative radiation therapy, cancer stage, extent of resection, and thoracotomy as surgical approach. Coronary artery disease was an independent predictor of mortality in women but not in men. Thoracotomy as the surgical approach and preoperative radiation therapy were predictive of mortality for men but not for women. Postoperative prolonged air leak and empyema predicted mortality in men but not in women.Women have lower postoperative morbidity and mortality after lung cancer surgery. Some risk factors are sex-specific with regard to mortality. Further study is warranted to determine the cause of these differences and to determine their effect on survival."
