Nr	Pubmed_ID	Review	Author	Title	Journal	Year	Subject	Species	Nr patients	
1	25655011	No	" Carolyn S P Lam Affiliation=National University Health System, Tower Block Level 9, 1E Kent Ridge Road, Singapore, 119228.,"	Sex differences in clinical characteristics and outcomes after myocardial infarction: insights from the Valsartan in Acute Myocardial Infarction Trial (VALIANT).	European journal of heart failure	2015 Mar	EPI	Human	14703	
2	25175547	No	" Alexander Weymann Affiliation=Department of Cardiothoracic Transplantation and Mechanical Circulatory Support, Royal Brompton & Harefield NHS Foundation Trust, London, UK,"	Gender differences in continuous-flow left ventricular assist device therapy as a bridge to transplantation: a risk-adjusted comparison using a propensity score-matching analysis.	Artificial organs	2015 Mar	MANAG	Human	48	
3	25210024	No	" J SjÃ¶blom Affiliation=Division of Cardiovascular Medicine, Department of Clinical Sciences, Karolinska Institutet, Danderyds Hospital, Danderyd University Hospital, 18288 Stockholm, Sweden johanna.sjoblom@ds.se.,"	Efficacy of primary preventive ICD therapy in an unselected population of patients with reduced left ventricular ejection fraction.	"Europace : European pacing, arrhythmias, and cardiac electrophysiology : journal of the working groups on cardiac pacing, arrhythmias, and cardiac cellular electrophysiology of the European Society of Cardiology"	2015 Feb	MANAG	Human	865	
4	23975013	No	" Linda L Steele Affiliation=Walden University, Minneapolis, MN, USA, lsteele426@aol.com.,"	Heart failure outcomes based on race and gender of patients in a medically undeserved area.	Journal of immigrant and minority health / Center for Minority Public Health	2015 Feb	OUTC	Human	53	
5	25614387	Yes	" H den Ruijter Affiliation=Experimental Cardiology Laboratory, University Medical Center, Utrecht, the Netherlands.,"	Heart failure with preserved ejection fraction in women: the Dutch Queen of Hearts program.	Netherlands heart journal : monthly journal of the Netherlands Society of Cardiology and the Netherlands Heart Foundation	2015 Feb	REVIEW	Human	na	
6	25398254	No	" Sven Meyer Affiliation=Department of Cardiology, University Medical Center Groningen, University of Groningen, Hanzeplein 1, P.O. Box 30001, 9700 RB, Groningen, The Netherlands, s.meyer@umcg.nl.,"	Sex differences in new-onset heart failure.	Clinical research in cardiology : official journal of the German Cardiac Society	2015 Apr	CLIN	Human	8592	
7	25793483	Yes	" Naomi D Herz Affiliation=Center for Devices and Radiological Health, United States Food and Drug Administration , Silver Spring, Maryland.,"	"Sex differences in device therapy for heart failure: utilization, outcomes, and adverse events."	Journal of women's health (2002)	2015 Apr	REVIEW	Human	na	
8	25633565	Yes	" Anne L Taylor Affiliation=Columbia University Medical Center, 630 W. 168th Street, PH 1-132, New York, NY, 10032, USA, alt2127@cumc.columbia.edu.,"	Heart failure in women.	Current heart failure reports	2015 Apr	REVIEW	Human	na	
9	25373384	No	" Jennifer Franke Affiliation=Department of Cardiology, University of Heidelberg, Im Neuenheimer Feld 410, 69120, Heidelberg, Germany, Jennifer.Franke@med.uni-heidelberg.de.,"	Gender aspects in clinical presentation and prognostication of chronic heart failure according to NT-proBNP and the Heart Failure Survival Score.	Clinical research in cardiology : official journal of the German Cardiac Society	2015 Apr	CLIN	Human	2549	
10	24781675	No	" Josephine M Keyzer,"	Age- and gender-specific brain natriuretic peptide (BNP) reference ranges in primary care.	Clinical chemistry and laboratory medicine : CCLM / FESCC	2014 Sep	CLIN	Human	9447	
11	25287281	No	" Georgios Kararigas Affiliation=Institute of Gender in Medicine and Center for Cardiovascular Research, Charite University Hospital, Berlin, Germany,"	Sex-dependent regulation of fibrosis and inflammation in human left ventricular remodelling under pressure overload.	European journal of heart failure	2014 Nov	PP	Human	122	
12	25101484	No	" Kristin J Lyons Affiliation=Division of Cardiology, Department of Medicine,"	Rates and reasons for device-based guideline eligibility in patients with heart failure.	Heart rhythm : the official journal of the Heart Rhythm Society	2014 Nov	MANAG	Human	762	
13	24461547	No	" Varsha G Vimalananda Affiliation=Section of Endocrinology, Diabetes and Nutrition, Department of Medicine, Boston University School of Medicine, Boston, MA, USA. Electronic address: varshav@bu.edu.,"	The influence of sex on cardiovascular outcomes associated with diabetes among older black and white adults.	Journal of diabetes and its complications	2014 May-Jun	EPI	Human	4817	
14	24574260	No	" Mauro Gori Affiliation=Brigham and Women's Hospital, Boston, MA, USA.,"	Sex-specific cardiovascular structure and function in heart failure with preserved ejection fraction.	European journal of heart failure	2014 May	CLIN	Human	279	
15	24214112	Yes	" Lawrence E Greiten Affiliation=Department of Surgery, Mayo Clinic, Med Sci 4-62, 200 First St SW, Rochester, MN, 55905, USA.,"	Should there be sex-specific criteria for the diagnosis and treatment of heart failure?	Journal of cardiovascular translational research	2014 Mar	REVIEW	Human	na	
16	24374113	No	" Robert Klempfner Affiliation=Neufeld Cardiac Research Institute, Heart Institute, Tel Hashomer, Ramat Gan, Israel,"	The Israel Nationwide Heart Failure Survey: Sex differences in early and late mortality for hospitalized heart failure patients.	Journal of cardiac failure	2014 Mar	OUTC	Human	2212	
17	24361776	No	" Misty A W Hawkins Affiliation=Department of Psychology, Kent State University, Kent, Ohio. Electronic address: mhawki15@kent.edu.,"	Greater body mass index is associated with poorer cognitive functioning in male heart failure patients.	Journal of cardiac failure	2014 Mar	EPI	Human	231	
18	24837433	No	" Hideyuki Sasaki,"	PDE5 inhibitor efficacy is estrogen dependent in female heart disease.	The Journal of clinical investigation	2014 Jun 2	PP	Mouse	na	
19	24650634	No	" Sofie A Gevaert Affiliation=Department of Cardiology, Ghent University Hospital, Ghent, Belgium. Electronic address: sofie.gevaert@ugent.be.,"	Gender differences in the management and outcome of atrial fibrillation complicating acute heart failure.	Journal of cardiac failure	2014 Jun	OUTC	Human	957	
20	24566994	No	" Kimberley M Mellor Affiliation=Department of Physiology, University of Melbourne, Melbourne, VIC, Australia, k.mellor@auckland.ac.nz.,"	Ageing-related cardiomyocyte functional decline is sex and angiotensin II dependent.	"Age (Dordrecht, Netherlands)"	2014 Jun	PP	Mouse	na	
21	24975903	Yes	" ÃrpÃ¡d KovÃ¡cs Affiliation=Division of Clinical Physiology, Faculty of Medicine, Institute of Cardiology, University of Debrecen, MÃ³ricz Zs. krt. 22, Debrecen 4032, Hungary.,"	Causes and pathophysiology of heart failure with preserved ejection fraction.	Heart failure clinics	2014 Jul	REVIEW	Human	na	
22	24317114	No	" Yasuhiko Sakata Affiliation=Departments of Cardiovascular Medicine and Evidence-based Cardiovascular Medicine, Tohoku University Graduate School of Medicine.,"	"Gender differences in clinical characteristics, treatment and long-term outcome in patients with stage c/d heart failure in Japan."	Circulation journal : official journal of the Japanese Circulation Society	2014 Jan 24	CLIN	Human	"4,736"	
23	24255075	Yes	" Shweta R Motiwala Affiliation=Department of Medicine, Massachusetts General Hospital, Boston, MA,"	Biomarkers in ACS and heart failure: should men and women be interpreted differently?	Clinical chemistry	2014 Jan	REVIEW	Human	na	
24	24126437	No	" Kaffer Kara Affiliation=The West-German Heart Center, Department of Cardiology, University of Duisburg-Essen, Essen, Germany, kaffer.kara@uk-essen.de.,"	B-type natriuretic peptide: distribution in the general population and the association with major cardiovascular and coronary events-The Heinz Nixdorf Recall Study.	Clinical research in cardiology : official journal of the German Cardiac Society	2014 Feb	EPI	Human	"3,697"	
25	25406860	No	" Georgios Kararigas Affiliation=Institute of Gender in Medicine, Center for Cardiovascular Research, and DZHK (German Center for Cardiovascular Research) , Berlin partner site, Charite University Hospital, 10117 Berlin, Germany.,"	Comparative proteomic analysis reveals sex and estrogen receptor Î² effects in the pressure overloaded heart.	Journal of proteome research	2014 Dec 5	PP	Mouse	16	
26	25422074	Yes	" Alyson J McGregor Affiliation=Department of Emergency Medicine, Warren Alpert Medical School of Brown University, Providence, RI.,"	Sex- and gender-specific research priorities for the emergency management of heart failure and acute arrhythmia: proceedings from the 2014 Academic Emergency Medicine Consensus Conference Cardiovascular Research Workgroup.	Academic emergency medicine : official journal of the Society for Academic Emergency Medicine	2014 Dec	REVIEW	Human	na	
27	24878771	No	" Peter J Reiser Affiliation=Division of Biosciences, College of Dentistry, Ohio State University, Columbus, Ohio,"	Sex differences in myosin heavy chain isoforms of human failing and nonfailing atria.	American journal of physiology. Heart and circulatory physiology	2014 Aug 1	PP	Human	na	
28	24554524	No	" Guy Amit Affiliation=Cardiology Department, Soroka Medical Center, Beer-Sheva, Israel Division of Cardiology, Department of Medicine McMaster University, Hamilton General Hospital 237 Barton Street East, Hamilton, ON L8L 2X2, Canada gamitmd@gmail.com.,"	Sex differences in implantable cardioverter-defibrillator implantation indications and outcomes: lessons from the Nationwide Israeli-ICD Registry.	"Europace : European pacing, arrhythmias, and cardiac electrophysiology : journal of the working groups on cardiac pacing, arrhythmias, and cardiac cellular electrophysiology of the European Society of Cardiology"	2014 Aug	MANAG	Human	3544	
29	23814176	No	" Chi-Wen Kao Affiliation=National Defense Medical Center, School of Nursing, Taiwan chiwenkao@ndmctsgh.edu.tw.,"	Gender differences in the predictors of depression among patients with heart failure.	European journal of cardiovascular nursing : journal of the Working Group on Cardiovascular Nursing of the European Society of Cardiology	2014 Aug	EPI	Human	147	
30	24720927	No	" Ileana L PiÃ±a Affiliation=Division of Cardiology, Montefiore-Einstein Medical Center, Bronx, New York. Electronic address: ilpina@montefiore.org.,"	Effects of Exercise Training on Outcomes inÂ Women With Heart Failure: Analysis of HF-ACTION (Heart Failure-A Controlled TrialÂ Investigating Outcomes of Exercise TraiNing) byÂ Sex.	JACC. Heart failure	2014 Apr	MANAG	Human	2331	
31	25403476	No	" Maarten J G Leening Affiliation=Department of Epidemiology, Erasmus MC - University Medical Center Rotterdam, Rotterdam, Netherlands Department of Cardiology, Erasmus MC - University Medical Center Rotterdam, Rotterdam, Netherlands Department of Epidemiology, Harvard School of Public Health, Boston, MA, US.,"	Sex differences in lifetime risk and first manifestation of cardiovascular disease: prospective population based cohort study.	BMJ (Clinical research ed.)	2014	EPI	Human	8419	
32	25154214	Yes	" Maria Trusz-Gluza,"	"[Catheter ablation--when possible, whether effective? When implantable cardioverter defibrillator?]."	PrzeglaÌ§d lekarski	2014	REVIEW	Human	na	
33	24685144	No	" Andrew Moore,"	Rapid onset of cardiomyopathy in STZ-induced female diabetic mice involves the downregulation of pro-survival Pim-1.	Cardiovascular diabetology	2014	PP	Mouse	na	
34	23041090	No	" John T Parissis Affiliation=Second Cardiology Department, Attikon University Hospital, Athens, Greece. jparissis@yahoo.com,"	Gender-related differences in patients with acute heart failure: management and predictors of in-hospital mortality.	International journal of cardiology	2013 Sep 20	OUTC	Human	4953	
35	24157234	No	Vera Regitz-Zagrosek Hugo Sanchez Ruderisch Ana Maria Queirós Claudia Eschen Daniela Fliegner Georgios Kararigas Elke Dworatzek Christina Westphal	Sex- and estrogen-dependent regulation of a miRNA network in the healthy and hypertrophied heart.	International journal of cardiology	2013 Nov				
38	23089890	No	" Hung-Yu Yang Affiliation=Division of Cardiovascular Medicine, Department of Internal Medicine, Wan Fang Hospital, Taipei Medical University, 111 Hsin-Lung Road, Sec. 3, Taipei, Taiwan.,"	Analysis of 10-year nationwide population-based data on sex differences in hospitalization for heart failure.	Heart and vessels	2013 Nov	EPI	Human	722272	
39	23663815	No	" Lulu Han,"	Gender Differences in the Relationship Between Age-Related Carotid Intima-media Thickness and Cardiac Diastolic Function in a Healthy Chinese Population.	Journal of cardiac failure	2013 May	CLIN	Human	852	
40	23356882	Yes	" Cheng-Chih Chung,"	Androgen modulates cardiac fibrosis contributing to gender differences on heart failure.	The aging male : the official journal of the International Society for the Study of the Aging Male	2013 Mar	Review	Human	na	
41	24060720	No	" Mohammad Alqahtani Affiliation=Dr. Mohammad Alqahtani, King Abdulaziz Medical City,, PO Box 22490, Riyadh 11426, Saudi Arabia, drqahtani@yahoo.com.,"	Gender differences in the clinical characteristics of Saudi heart failure patients with subsequent stroke.	Annals of Saudi medicine	2013 Jul-Aug	CLIN	Human	293	
42	22244484	No	" Ugo CorrÃ  Affiliation=Division of Cardiology, Salvatore Maugeri Foundation, IRCCS, Veruno, NO, Italy. ugo.corra@fsm.it,"	"Peak oxygen consumption and prognosis in heart failure: 14 mL/kg/min is not a ""gender-neutral"" reference."	International journal of cardiology	2013 Jul 15	CLIN	Human	529	
43	23419512	No	" Gideon Y Stein Affiliation=Department of Internal Medicine 'B', Beilinson Hospital, Rabin Medical Center, Petah Tikva, Israel.,"	Gender-related differences in hospitalized heart failure patients.	European journal of heart failure	2013 Jul	OUTC	Human	9335	
44	23122799	No	" Thais Coutinho,"	Sex differences in arterial stiffness and ventricular-arterial interactions.	Journal of the American College of Cardiology	2013 Jan 8	Clinical	Human	461	
45	24268222	No	" Eileen M Hsich Affiliation=College of Medicine, Cleveland Clinic, Cleveland, OH. Electronic address: Hsiche@ccf.org.,"	"Relationship between sex, ejection fraction, and B-type natriuretic peptide levels in patients hospitalized with heart failure and associations with inhospital outcomes: findings from the Get With The Guideline-Heart Failure Registry."	American heart journal	2013 Dec	OUTC	Human	99930	
46	23666250	No	" Sven Meyer Affiliation=Department of Cardiology, University of Groningen, University Medical Center Groningen, Hanzeplein 1, PO Box 30001, 9700 RB, Groningen, The Netherlands. s.meyer@umc.g.nl,"	Neurohormonal and clinical sex differences in heart failure.	European heart journal	2013 Aug	CLIN	Human	567	
47	23910583	No	" FÃ¡tima Rodriguez Affiliation=Department of Medicine, Brigham and Women's Hospital, Boston, Massachusetts 02115, USA.,"	National patterns of heart failure hospitalizations and mortality by sex and age.	Journal of cardiac failure	2013 Aug	OUTC	Human	430665	
48	24391311	No	" Guliz Kozdag Affiliation=Departments of Cardiology (Drs. Akay, Celikyurt, Emre, Ertas, Karauzum, Kozdag, Sahin, Ural, and Yilmaz) and Nuclear Medicine (Dr. Gorur), Faculty of Medicine, Kocaeli University, 41300 Kocaeli, Turkey,"	Low serum triglyceride levels as predictors of cardiac death in heart failure patients.	"Texas Heart Institute journal / from the Texas Heart Institute of St. Luke's Episcopal Hospital, Texas Children's Hospital"	2013	OUTC	Human	637	
49	22887722	No	" Carolyn S P Lam,"	Sex differences in clinical characteristics and outcomes in elderly patients with heart failure and preserved ejection fraction: the Irbesartan in Heart Failure with Preserved Ejection Fraction (I-PRESERVE) trial.	Circulation. Heart failure	2012 Sep 1	Outcomes	Human	4128	
50	22414584	Yes	" Jo-Ann Eastwood,"	Commonalities and differences in correlates of depressive symptoms in men and women with heart failure.	European journal of cardiovascular nursing : journal of the Working Group on Cardiovascular Nursing of the European Society of Cardiology	2012 Sep	Clinical	Human	622	
51	21531469	No	" Stefania De Feo,"	Gender differences in cardiac rehabilitation programs from the Italian survey on cardiac rehabilitation (ISYDE-2008).	International journal of cardiology	2012 Oct 4	Management	Human	2281	
52	23072904	No	" Robert W Rho,"	Important differences in mode of death between men and women with heart failure who would qualify for a primary prevention implantable cardioverter-defibrillator.	Circulation	2012 Nov 13	Outcomes	Human	8337	
53	22522504	Yes	" Paul D Morris,"	Testosterone and cardiovascular disease in men.	Asian journal of andrology	2012 May	Review	Human	na	
54	23678532	No	" Maurizio Lunati,"	[Cardiac resynchronization therapy in women].	Giornale italiano di cardiologia (2006)	2012 May	MANAG	Human	n.a.	
55	23678528	No	" Angela Beatrice Scardovi,"	[Heart failure phenotype in women].	Giornale italiano di cardiologia (2006)	2012 May	CLIN	Human	n.a.	
56	23678531	No	" Gianfranco Misuraca,"	[Data from the IN-HF Outcome registry].	Giornale italiano di cardiologia (2006)	2012 May	CLIN	Human	5610	
57	22287589	No	" Sana M Al-Khatib,"	Trends in use of implantable cardioverter-defibrillator therapy among patients hospitalized for heart failure: have the previously observed sex and racial disparities changed over time?	Circulation	2012 Mar 6	Management	Human	11880	
58	22424014	No	" Eileen M Hsich,"	Sex differences in in-hospital mortality in acute decompensated heart failure with reduced and preserved ejection fraction.	American heart journal	2012 Mar	Outcomes	Human	51428	
59	22580857	No	" Lenka Spinarova,"	Gender differences in total cholesterol levels in patients with acute heart failure and its importance for short and long time prognosis.	"Biomedical papers of the Medical Faculty of the University PalackÃ½, Olomouc, Czechoslovakia"	2012 Mar	Clinical	Human	4153	
