Nr,Pubmed_ID,Review,Author,Title,Journal,Year,Subject,Species,Nr patients
1,25633999,No," Lynda D Lisabeth Affiliation=From the Department of Neurology, Stroke Program, University of Michigan, Ann Arbor (L.D.L., L.E.S., D.L.B., D.B.Z., M.A.S., L.B.M.),",Factors influencing sex differences in poststroke functional outcome.,"Stroke, a journal of cerebral circulation",2015 Mar,OUTC,Human,439
2,25628307,No," Tracy E Madsen Affiliation=From the Division of Women's Health in Emergency Care, Department of Emergency Medicine, The Alpert Medical School of Brown University, Rhode Island Hospital, Providence (T.E.M.),",Analysis of tissue plasminogen activator eligibility by sex in the Greater Cincinnati/Northern Kentucky Stroke Study.,"Stroke, a journal of cerebral circulation",2015 Mar,MANAG,Human,1837
3,25492115,No," Hilda Ahnstedt Affiliation=Division of Experimental Vascular Research, Department of Clinical Sciences, Lund University, Lund, Sweden.,",U0126 attenuates cerebral vasoconstriction and improves long-term neurologic outcome after stroke in female rats.,Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,2015 Mar,PP,Rat,na
4,25498546,No," Puttachandra Prabhakar Affiliation=Department of Neurochemistry, National Institute of Mental Health and Neuro Sciences (NIMHANS), Bangalore, Karnataka 560029, India.,",Genetic variants of vitamin D receptor and susceptibility to ischemic stroke.,Biochemical and biophysical research communications,2015 Jan 9,EPI,Human,557
5,25434281,No," Abby L Dotson Affiliation=Neuroimmunology Research, VA Medical Center, Portland, OR, USA,",Splenectomy reduces infarct volume and neuroinflammation in male but not female mice in experimental stroke.,Journal of neuroimmunology,2015 Jan 15,PP,Mouse,na
6,25121827,No," Shilpa D Kadam Affiliation=1 Department of Neurology and Developmental Medicine, Kennedy Krieger Research Institute , Baltimore, Maryland.,",Systemic injection of CD34(+)-enriched human cord blood cells modulates poststroke neural and glial response in a sex-dependent manner in CD1 mice.,Stem cells and development,2015 Jan 1,PP,Mouse,na
7,25456865,No," Salim S Virani Affiliation=Health Policy, Quality and Informatics Program, Michael E. DeBakey Veterans Affairs Medical Center, Health Services Research and Development Center for Innovations, Houston, Texas,",Gender disparities in evidence-based statin therapy in patients with cardiovascular disease.,The American journal of cardiology,2015 Jan 1,MANAG,Human,972532
8,24882635,Yes," Farida Sohrabji Affiliation=Women's Health in Neuroscience Program, Neuroscience and Experimental Therapeutics, TAMHSC College of Medicine, Bryan, TX 77807, United States. Electronic address: Sohrabji@medicine.tamhsc.edu.,",Estrogen-IGF-1 interactions in neuroprotection: ischemic stroke as a case study.,Frontiers in neuroendocrinology,2015 Jan,REVIEW,Human,na
9,25671042,No," Tracy E Madsen Affiliation=Alpert Medical School of Brown University/Rhode Island Hospital, Department of Emergency Medicine, Providence, Rhode Island.,",Lack of gender disparities in emergency department triage of acute stroke patients.,The western journal of emergency medicine,2015 Jan,MANAG,Human,537
10,25155474,No," M R Amiri-Nikpour Affiliation=Department of Neurology, Imam Khomeini Hospital, Urmia University of Medical Sciences, Urmia, Iran.,",An open-label evaluator-blinded clinical study of minocycline neuroprotection in ischemic stroke: gender-dependent effect.,Acta neurologica Scandinavica,2015 Jan,MANAG,Human,53
11,25637322,No," Priscilla Y Hsue Affiliation=Division of Cardiology, San Francisco General Hospital, San Francisco, California.,","Impact of female sex on lipid lowering, clinical outcomes, and adverse effects in atorvastatin trials.",The American journal of cardiology,2015 Feb 15,MANAG,Human,39173
12,25550372,No," Fumi Irie Affiliation=From the Department of Medicine and Clinical Science (F.I., J.H., R.M., Y.W., J.K., T.A., T.K.), Department of Health Care Administration and Management (M.K., R.M.), and Center for Cohort Studies (M.K., J.H., T.K.), Graduate School of Medical Sciences, Kyushu University, Fukuoka, Japan,",Sex differences in short-term outcomes after acute ischemic stroke: the fukuoka stroke registry.,"Stroke, a journal of cerebral circulation",2015 Feb,OUTC,Human,6236
13,25388681,No," Bharti Manwani Affiliation=Department of Neurology and Neuroscience, University of Connecticut Health Center, Farmington, Connecticut, USA.,","Sex differences in ischemic stroke sensitivity are influenced by gonadal hormones, not by sex chromosome complement.",Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,2015 Feb,PP,Mouse,na
14,25671072,No," Chol Shin Affiliation=Department of Internal Medicine, Korea University Ansan Hospital, Ansan 425-707, Korea. ,",Sex-specific differences in the association of a common aldehyde dehydrogenase 2 gene polymorphism and alcohol consumption with stroke risk in a Korean population: a prospective cohort study.,Nutrition research and practice,2015 Feb,EPI,Human,8465
15,24953174,No," Jose Luis Clua-Espuny Affiliation=EAP Tortosa 1-est, Unidad Docente Tortosa, SAP Terres de l'Ebre, Institut CatalÃ  Salut, Generalitat Catalunya, Tortosa, EspaÃ±a. Electronic address: jlclua@telefonica.net.,",[Differences in the survival after an episode of stroke treated with thrombolytic therapy. Study Ebrictus].,Atencion primaria / Sociedad EspaÃ±ola de Medicina de Familia y Comunitaria,2015 Feb,OUTC,Human,91
16,25783542,No," Halvor Ã˜ygarden Affiliation=Department of Clinical Medicine, University of Bergen, Bergen, Norway, havy@helse-bergen.no.,",Stroke patients' knowledge about cardiovascular family historyâ€‰-â€‰the Norwegian Stroke in the Young Study (NOR-SYS).,BMC neurology,2015 Dec,CLIN,Human,257
17,25779437,No," Mehwish A Mirza Affiliation=Department of Neuroscience, University of Connecticut Health Center, 263 Farmington Avenue, Farmington, CT, 06030, USA, memirza@uchc.edu.,",Sexually dimorphic outcomes and inflammatory responses in hypoxic-ischemic encephalopathy.,Journal of neuroinflammation,2015 Dec,PP,Mouse,na
18,25747877,Yes," Matthew D Howe Affiliation=Department of Neuroscience, The University of Connecticut Health Center, Farmington, CT 06030, USA.,",Prevention and management of stroke in women.,Expert review of cardiovascular therapy,2015 Apr,REVIEW,Human,na
19,25586143,No," Laura Buratti Affiliation=Department of Experimental and Clinical Medicine, Neurological Clinic, Marche Polytechnic University, Ancona, Italy.,",Sex-associated differences in the modulation of vascular risk in patients with asymptomatic carotid stenosis.,Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,2015,EPI,Human,1109
