Nr,Pubmed_ID,Review,Author,Title,Journal,Year,Subject,Species,Nr patients
1,25388590,No," P Mota Affiliation=Unit of Medical Genetics, Faculty of Medicine, University of Coimbra, Coimbra, Portugal, motapaula8@gmail.com.,",Genetic polymorphisms of phase I and phase II metabolic enzymes as modulators of lung cancer susceptibility.,Journal of cancer research and clinical oncology,2015 May,PP,Human,447
2,25634180,No," Chia-Hao Chang Affiliation=From the Department of Internal Medicine (C-HC), National Taiwan University Hospital, HsinChu,",Gender-based impact of epidermal growth factor receptor mutation in patients with nonsmall cell lung cancer and previous tuberculosis.,Medicine,2015 Jan,OUTC,Human,8265
3,25634179,No," Zhi-Hong Jian Affiliation=From the Department of Public Health and Institute of Public Health (Z-HJ, J-YH, P-CK, S-RJ, ONN, C-CL, W-YK, Y-PL), Chung Shan Medical University,",Impact of coexisting pulmonary diseases on survival of patients with lung adenocarcinoma: a STROBE-compliant article.,Medicine,2015 Jan,OUTC,Human,13399
4,25684531,No," Arife Ulas Affiliation=Department of Medical Oncology, Ankara Ataturk Training and Research Hospital, Ankara, Turkey E-mail : drarifeulas@ hotmail.com.,","Lung cancer in women, a different disease: survival differences by sex in Turkey.",Asian Pacific journal of cancer prevention : APJCP,2015,OUTC,Human,844
5,24752563,No," Jenny McGreevy Affiliation=Department of Learning, Informatics, Management and Ethics, Karolinska Institutet, Stockholm, Sweden, jenny.mcgreevy@virginmedia.com.,",Characteristics of taste and smell alterations reported by patients after starting treatment for lung cancer.,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,2014 Oct,CLIN,Human,89
6,25029249,No," Katja Kurz Affiliation=Institut fÃ¼r Psychosoziale Medizin und Psychotherapie, UniversitÃ¤tsklinikum Jena, Friedrich-Schiller-UniversitÃ¤t Jena.,",[Gender differences in mental distress of patients with lung cancer and their partners].,"Psychotherapie, Psychosomatik, medizinische Psychologie",2014 Nov,EPI,Human,na
7,25433585,No," D Debieuvre Affiliation=Service de pneumologie, hÃ´pital Ã‰mile-Muller, 20, avenue du Docteur-RenÃ©-Laennec, 68070 Mulhouse, France. Electronic address: debieuvred@ch-mulhouse.fr.,",[Ten-year evolution in non-small-cell lung cancer according to sex. Results of the KBP-2010-CPHG study by the College of General Hospital Respiratory Physicians].,Revue des maladies respiratoires,2014 Nov,EPI,Human,6083
8,24277573,Yes," J Remon Affiliation=Hospital de MatarÃ³, Carretera de la cirera s/n, 08304, MatarÃ³, Spain, jremon@csdm.cat.,",Lung cancer in women: an overview with special focus on Spanish women.,Clinical & translational oncology : official publication of the Federation of Spanish Oncology Societies and of the National Cancer Institute of Mexico,2014 Jun,REVIEW,Human,na
9,25018206,No," Cornelius Nattey Affiliation=National Institute for Occupational Health, National Health Laboratory Service, Johannesburg, Gauteng, South AfricaNational Cancer Registry, National Health Laboratory Service, Johannesburg, Gauteng, South Africa.,","0342â€…Lung cancer risk attributable to occupation: in a case control study in black South Africans, 2001-2008.",Occupational and environmental medicine,2014 Jun,EPI,Human,1699
10,24726742,No," Betty C Tong Affiliation=Section of Thoracic Surgery, Department of Surgery, Duke University Medical Center, Durham, NC. Electronic address: betty.tong@duke.edu.,",Sex differences in early outcomes after lung cancer resection: analysis of the Society of Thoracic Surgeons General Thoracic Database.,The Journal of thoracic and cardiovascular surgery,2014 Jul,MANAG,Human,34188
11,24323033,No," Lara Traeger Affiliation=Lara Traeger, William F. Pirl, and Elyse R. Park, Massachusetts General Hospital,",Race by sex differences in depression symptoms and psychosocial service use among non-Hispanic black and white patients with lung cancer.,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,2014 Jan 10,MANAG,Human,1043
12,25589958,No," Jose Luis LÃ³pez-Campos Affiliation=1 Unidad MÃ©dico-QuirÃºrgica de Enfermedades Respiratorias. Instituto de Biomedicina de Sevilla (IBiS), Hospital Universitario Virgen del Rocio/Universidad de Sevilla, Spain ,",The lung cancer epidemic in Spanish women: an analysis of mortality rates over a 37-year period.,Journal of thoracic disease,2014 Dec,OUTC,Human,na
13,24560333,No," Wei-Yen Lim Affiliation=Saw Swee Hock School of Public Health, National University of Singapore and National University Health System, Singapore. Electronic address: wei-yen_lim@nuhs.edu.sg.,",Lung cancer incidence in Singapore: Ethnic and gender differences.,"Lung cancer (Amsterdam, Netherlands)",2014 Apr,EPI,Human,na
14,24732639,No," Chunguo Pan Affiliation=Radiotherapy Department of Jiangxi Cancer Hospital, Jiangxi University of Traditional Chinese Medicine, Nanchang City, Jiangxi Province, China.,",Glutathione s-transferase t1 and m1 polymorphisms are associated with lung cancer risk in a gender-specific manner.,Oncology research and treatment,2014,PP,Human,na
15,25014510,No," Yingying Wang Affiliation=MRC|CSO Social & Public Health Science Unit, University of Glasgow, Glasgow, United Kingdom.,",Gender differences in survival and the use of primary care prior to diagnosis of three cancers: an analysis of routinely collected UK general practice data.,PloS one,2014,OUTC,Human,27622
16,25326209,No," Ingeborg Lund Affiliation=Norwegian Institute for Alcohol and Drug Research (SIRUS), Oslo, Norway.,",Lifetime smoking habits among Norwegian men and women born between 1890 and 1994: a cohort analysis using cross-sectional data.,BMJ open,2014,EPI,Human,na
17,23673479,No," L Letkova Affiliation=Department of Medical Biochemistry, Jessenius Faculty of Medicine in Martin, Comenius University in Bratislava, Mala Hora 4, 036 01, Martin, Slovak Republic. letkova@jfmed.uniba.sk,",DNA repair genes polymorphism and lung cancer risk with the emphasis to sex differences.,Molecular biology reports,2013 Sep,EPI,Human,761
18,24216523,Yes," Crystal M North Affiliation=Pulmonary and Critical Care Unit, Department of Medicine, Massachusetts General Hospital, Boston, Massachusetts.,",Women and lung cancer: what is new?,Seminars in thoracic and cardiovascular surgery,2013 Season=Summer,REVIEW,Human,na
19,23715671,No," S A Lother Affiliation=Faculty of Medicine, University of Manitoba, 260 Brodie Centre, 727 McDermot Ave, Winnipeg, MB, R3E3P5, Canada.,","Antiestrogen use and survival of women with non-small cell lung cancer in Manitoba, Canada.",Hormones & cancer,2013 Oct,CLIN,Human,2320
20,24096953,Yes," Pamela D Graham Affiliation=From the G.V. (Sonny) Montgomery VA Medical Center, and the Department of Medicine, University of Mississippi School of Medicine, Jackson, and the Department of Medicine, Quillen College of Medicine, East Tennessee State University, Johnson City.,",Lung cancer in women.,Southern medical journal,2013 Oct,REVIEW,Human,na
21,23509234,No," Richard Warwick Affiliation=Liverpool Heart and Chest Hospital, Liverpool, UK.,",Female sex and long-term survival post curative resection for non-small-cell lung cancer.,European journal of cardio-thoracic surgery : official journal of the European Association for Cardio-thoracic Surgery,2013 Oct,OUTC,Human,4212
22,23677552,No," M Serke,",[Gender-specific difference in lung cancer].,"Pneumologie (Stuttgart, Germany)",2013 May,CLIN,Human,n.a.
23,23733286,Yes," Verena JÃ¼rgens Affiliation=Department of Epidemiology and Public Health, Swiss Tropical and Public Health Institute, Basel, Switzerland.,",Bayesian spatio-temporal modelling of tobacco-related cancer mortality in Switzerland.,Geospatial health,2013 May,REVIEW,Human,na
24,23195992,No," Michelle K McHugh,",Use of the cytokinesis-blocked micronucleus assay to detect gender differences and genetic instability in a lung cancer case-control study.,"Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology",2013 Jan,Clinical,Human,1000
25,23121131,No," Xiaorong Wang,",Cause-specific mortality in a Chinese chrysotile textile worker cohort.,Cancer science,2013 Feb,Epidemiology,Human,865
26,24258569,Yes," M Patricia Rivera Affiliation=Division of Pulmonary and Critical Care Medicine, Department of Medicine, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina.,","Lung cancer in women: differences in epidemiology, biology, histology, and treatment outcomes.",Seminars in respiratory and critical care medicine,2013 Dec,REVIEW,Human,na
27,23425629,No," Sara De Matteis,",Are women who smoke at higher risk for lung cancer than men who smoke?,American journal of epidemiology,2013 Apr 1,CLIN,Human,4220
28,24252624,No," Stephanie A Kovalchik Affiliation=Economics, Sociology, and Statistics Department, RAND Corporation, Santa Monica, CA, USA. skovalch@rand.org.,",A regression model for risk difference estimation in population-based case-control studies clarifies gender differences in lung cancer risk of smokers and never smokers.,BMC medical research methodology,2013,EPI,Human,na
29,23742049,No," Brian K Chen Affiliation=Department of Health Services Policy and Management, Arnold School of Public Health, University of South Carolina, 800 Sumter Street #116, Columbia, SC 29208, USA. bchen@mailbox.sc.edu,","Temporal trend analysis of avoidable mortality in Taiwan, 1971-2008: overall progress, with areas for further medical or public health investment.",BMC public health,2013,EPI,Human,na
30,22749756,No," D SalmerÃ³n,","Lung cancer prognosis in Spain: the role of histology, age and sex.",Respiratory medicine,2012 Sep,Outcomes,Human,n.a.
31,21678025,No," Aurelio Cayuela,",Gender differences in lung cancer mortality trends in Andalusia 1975-2008: a joinpoint regression analysis.,"Medical oncology (Northwood, London, England)",2012 Sep,Outcomes,Human,n.a.
