Nr,Pubmed_ID,Review,Author,Title,Journal,Year,Subject,Species,Nr patients,
1,25412222,No," Theresa M Beckie Affiliation=College of Nursing, University of South Florida, Tampa, Florida (Drs Beckie, Groer, Kip, and Ji),",Biopsychosocial health disparities among young women enrolled in cardiac rehabilitation.,Journal of cardiopulmonary rehabilitation and prevention,2015 Mar-Apr,MANAG,Human,252,
2,25510395,No," Xin Zheng Affiliation=National Clinical Research Center of Cardiovascular Diseases, State Key Laboratory of Cardiovascular Disease, Fuwai Hospital, National Center for Cardiovascular Diseases, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing, People's Republic of China.,",Age-specific gender differences in early mortality following ST-segment elevation myocardial infarction in China.,Heart (British Cardiac Society),2015 Mar 1,OUTC,Human,11986,
3,25655011,No," Carolyn S P Lam Affiliation=National University Health System, Tower Block Level 9, 1E Kent Ridge Road, Singapore, 119228.,",Sex differences in clinical characteristics and outcomes after myocardial infarction: insights from the Valsartan in Acute Myocardial Infarction Trial (VALIANT).,European journal of heart failure,2015 Mar,OUTC,Human,14703,
4,25634157,Yes," Kazuyuki Yahagi Affiliation=CVPath Institute, Gaithersburg, MD, USA.,",Sex differences in coronary artery disease: pathological observations.,Atherosclerosis,2015 Mar,REVIEW,Human,na,
5,24815825,No," E Sulo Affiliation=Department of Global Public Health and Primary Care, University of Bergen, Bergen, Norway.,","Trends in 28-day and 1-year mortality rates in patients hospitalized for a first acute myocardial infarction in Norway during 2001-2009: a ""Cardiovascular disease in Norway"" (CVDNOR) project.",Journal of internal medicine,2015 Mar,OUTC,Human,115608,
6,25859870,No," Ednei Luiz Antonio Affiliation=LaboratÃ³rio de Fisiologia e Fisiopatologia CardÃ­acas, Universidade Federal de SÃ£o Paulo, SÃ£o Paulo, SP, Brazil.,",Are there gender differences in left ventricular remodeling after myocardial infarction in rats?,Revista brasileira de cirurgia cardiovascular : Ã³rgÃ£o oficial da Sociedade Brasileira de Cirurgia Cardiovascular,2015 Jan-Mar,PP,Rat,na,
7,25287767,No," Karl Fengler Affiliation=Department of Internal Medicine, Cardiology, University of Leipzig, Heart Center, StrÃ¼mpellstraÃŸe 39, 04289, Leipzig, Germany.,",Gender differences in patients with cardiogenic shock complicating myocardial infarction: a substudy of the IABP-SHOCK II-trial.,Clinical research in cardiology : official journal of the German Cardiac Society,2015 Jan,OUTC,Human,600,
8,25497252,No," Matthew I Tomey Affiliation=The Icahn School of Medicine at Mount Sinai, New York, NY.,","Sex, adverse cardiac events, and infarct size in anterior myocardial infarction: an analysis of intracoronary abciximab and aspiration thrombectomy in patients with large anterior myocardial infarction (INFUSE-AMI).",American heart journal,2015 Jan,OUTC,Human,452,
9,25679303,No," Xiao Xu Affiliation=From the Department of Obstetrics, Gynecology and Reproductive Sciences (X.X.), Department of Emergency Medicine (G.D.), Section of Cardiovascular Medicine, Department of Internal Medicine (E.S., H.M.K.), and Robert Wood Johnson Foundation Clinical Scholars Program (H.M.K.), Yale University School of Medicine, New Haven, CT,",Sex differences in perceived stress and early recovery in young and middle-aged patients with acute myocardial infarction.,Circulation,2015 Feb 17,OUTC,Human,3572,
10,25115966,No," Jennifer Yu Affiliation=Icahn School of Medicine at Mount Sinai, New York, New York,",Sex-based differences in bleeding and long term adverse events after percutaneous coronary intervention for acute myocardial infarction: three year results from the HORIZONS-AMI trial.,Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions,2015 Feb 15,MANAG,Human,3602,
11,25618302,Yes," Garima Arora Affiliation=Division of Cardiovascular Disease, Department of Medicine, University of Alabama at Birmingham, 701 19th Street South, LHRB 310, Birmingham, AL, 35294, USA.,",Chest pain characteristics and gender in the early diagnosis of acute myocardial infarction.,Current cardiology reports,2015 Feb,REVIEW,Human,na,
12,24008315,No," Aloysia A M van Oeffelen Affiliation=Julius Centre for Health Sciences and Primary Care, University Medical Centre Utrecht, The Netherlands l.vanoeffelen@umcutrecht.nl.,",Sex disparities in acute myocardial infarction incidence: do ethnic minority groups differ from the majority population?,European journal of preventive cardiology,2015 Feb,EPI,Human,7601785,
13,25792558,No," Gail D'Onofrio Affiliation=From Department of Emergency Medicine (G.D., B.S.) and Department of Medicine (R.P.D., H.M.K.), Yale University School of Medicine, New Haven, CT,",Sex Differences in Reperfusion in Young Patients With ST-Segment-Elevation Myocardial Infarction: Results From the VIRGO Study.,Circulation,2015 Apr 14,MANAG,Human,1465,
14,25884896,Yes," Federico Conrotto Affiliation=Department of Cardiology, CittÃ , Della Salute e della Scienza Hospital, Turin, Italy.,",A Meta-Analysis of Sex-Related Differences in Outcomes After Primary Percutaneous Intervention for ST-Segment Elevation Myocardial Infarction.,Journal of interventional cardiology,2015 Apr,REVIEW,Human,na,
15,25836055,No," Kim G Smolderen Affiliation=University of Missouri Kansas City, Kansas City, MO (K.G.S., J.A.S.) Saint Luke's Mid America Heart Institute, Kansas City, MO (K.G.S., J.A.S.).,",Depressive Symptoms in Younger Women and Men With Acute Myocardial Infarction: Insights From the VIRGO Study.,Journal of the American Heart Association,2015,EPI,Human,3572,
16,25835766,Yes," Chiara FoÃ  Affiliation=University Teaching Hospital, Parma, Italy. chiara.foa@unipr.it.,",Factors affecting women's well-being during the experience of acute myocardial infarction: a literature review.,Acta bio-medica : Atenei Parmensis,2015,REVIEW,Human,na,
17,25129664,No," Giulio Guagliumi Affiliation=Cardiovascular Department, Azienda Ospedaliera Papa Giovanni XXIII, Bergamo, Italy. Electronic address: guagliumig@gmail.com.,",Mechanisms of atherothrombosis and vascular response to primary percutaneous coronary intervention in women versus men with acute myocardial infarction: results of the OCTAVIA study.,JACC. Cardiovascular interventions,2014 Sep,CLIN,Human,140,
18,25173543,No," Kai M Eggers Affiliation=Department of Medical Sciences, Uppsala University, Uppsala, Sweden. Electronic address: kai.eggers@ucr.uu.se.,",Cardiac troponin I levels in patients with non-ST-elevation acute coronary syndrome-the importance of gender.,American heart journal,2014 Sep,CLIN,Human,2750,
19,25271209,No," Emily M Bucholz Affiliation=Yale University School of Medicine, New Haven, CT (E.M.B.) Department of Chronic Disease Epidemiology, Yale School of Public Health, New Haven, CT (E.M.B., J.H.L.).,",Effect of low perceived social support on health outcomes in young patients with acute myocardial infarction: results from the VIRGO (Variation in Recovery: Role of Gender on Outcomes of Young AMI Patients) study.,Journal of the American Heart Association,2014 Oct,OUTC,Human,3432,
20,25280137,No," Beatrix Rafael Affiliation=Psychiatric Clinic, University of Szeged, Szeged, Hungary,",Vital exhaustion and anxiety are related to subjective quality of life in patients with acute myocardial infarct before cardiac rehabilitation.,Journal of clinical nursing,2014 Oct,EPI,Human,97,
21,24866331,No," Jolana Lipkova Affiliation=Institute of Pathological Physiology, Faculty of Medicine, Masaryk University , Czech Republic .,",Period3 VNTR polymorphism influences the time-of-day pain onset of acute myocardial infarction with ST elevation.,Chronobiology international,2014 Oct,PP,Human,646,
22,25175176,No," Daniel Sinnecker Affiliation=Medizinische Klinik, Klinikum Rechts der Isar, Technische UniversitÃ¤t MÃ¼nchen, Munich, Germany.,",Sex differences in the non-invasive risk stratification and prognosis after myocardial infarction.,Journal of electrocardiology,2014 Nov-Dec,OUTC,Human,4141,
23,25499938,No," Yong Wei Affiliation=Department of Cardiology, Shanghai Songjiang Central Hospital, Shanghai, China,",Age- and sex-related difference in lipid profiles of patients hospitalized with acute myocardial infarction in East China.,Journal of clinical lipidology,2014 Nov-Dec,CLIN,Human,1213,
24,25257671,No," Adaya Weissler-Snir Affiliation=Department of Cardiology, Beilinson Hospital, Rabin Medical Center, Petah-Tikva, and the Sackler Faculty of Medicine, Tel Aviv University, Tel Aviv, Israel. Electronic address: adayawe@clalit.org.il.,",Gender Differences in Left Ventricular Function Following Percutaneous Coronary Intervention for First Anterior Wall ST-Segment Elevation Myocardial Infarction.,The American journal of cardiology,2014 Nov 15,MANAG,Human,789,
25,25265319,Yes," Samir Bipin Pancholy Affiliation=Department of Cardiovascular Medicine, Wright Center for Graduate Medical Education, Scranton, Pennsylvania2The Commonwealth Medical College, Scranton, Pennsylvania.,",Sex differences in short-term and long-term all-cause mortality among patients with ST-segment elevation myocardial infarction treated by primary percutaneous intervention: a meta-analysis.,JAMA internal medicine,2014 Nov,REVIEW,Human,68536,
26,25028784,No," Jonathon Leipsic Affiliation=From the Department of Radiology and Medicine, St Paul's Hospital, University of British Columbia, 1081 Burrard St, Vancouver, BC, Canada V6S 1Y6 (J.L.),",Sex-based prognostic implications of nonobstructive coronary artery disease: results from the international multicenter CONFIRM study.,Radiology,2014 Nov,EPI,Human,11462,
27,24897400,No," Magdalena Krintus,",European multicenter analytical evaluation of the Abbott ARCHITECT STAT high sensitive troponin I immunoassay.,Clinical chemistry and laboratory medicine : CCLM / FESCC,2014 Nov,CLIN,Human,na,
28,24766986,No," Duk-Woo Park Affiliation=Department of Cardiology, University of Ulsan College of Medicine, Asan Medical Center, Seoul, Korea.,",Sex difference in clinical outcomes after percutaneous coronary intervention in Korean population.,American heart journal,2014 May,MANAG,Human,23604,
29,24910083,No," Guillaume Leurent Affiliation=Service de Cardiologie et Maladies Vasculaires, CHU de Rennes, 2, rue Henri-le-Guilloux, 35000 Rennes, France,","Gender differences in presentation, management and inhospital outcome in patients with ST-segment elevation myocardial infarction: data from 5000 patients included in the ORBI prospective French regional registry.",Archives of cardiovascular diseases,2014 May,MANAG,Human,5000,
30,24795168,No," Yacov Shacham Affiliation=Department of Cardiology, Tel-Aviv Sourasky Medical Center affiliated to the Sackler Faculty of Medicine, Tel-Aviv University, Tel-Aviv, Israel. Electronic address: kobyshacham@gmail.com.,",Comparison of Left Ventricular Function Following First ST-Segment Elevation Myocardial Infarction Treated With Primary Percutaneous Coronary Intervention in Men Versus Women.,The American journal of cardiology,2014 Jun 15,OUTC,Human,187,
31,25060366,No," Aakriti Gupta Affiliation=Center for Outcomes Research and Evaluation, Yale-New Haven Hospital, New Haven, Connecticut,","Trends in acute myocardial infarction in young patients and differences by sex and race, 2001 to 2010.",Journal of the American College of Cardiology,2014 Jul 29,OUTC,Human,230684,
32,24468419,Yes," Mona Izadnegahdar Affiliation=Division of Cardiology, University of British Columbia, Vancouver, British Columbia, Canada.,",Basis for sex-dependent outcomes in acute coronary syndrome.,The Canadian journal of cardiology,2014 Jul,REVIEW,Human,na,
33,24206026,No," Mona Izadnegahdar Affiliation=1 School of Population and Public Health, University of British Columbia , Vancouver, British Columbia, Canada .,",Do younger women fare worse? Sex differences in acute myocardial infarction hospitalization and early mortality rates over ten years.,Journal of women's health (2002),2014 Jan,OUTC,Human,70628,
34,22752464,No," Mai T LÃ¸nnebakken Affiliation=Institute of Medicine, University of Bergen, Norway.,",No gender difference in the extent of myocardial ischemia in non-ST elevation myocardial infarction.,European journal of preventive cardiology,2014 Jan,CLIN,Human,110,
35,24774261,No," Cosme GarcÃ­a-GarcÃ­a Affiliation=Departamento de CardiologÃ­a, Hospital del Mar, Barcelona, Spain,","Sex-based differences in clinical features, management, and 28-day and 7-year prognosis of first acute myocardial infarction. RESCATE II study.",Revista espaÃ±ola de cardiologÃ­a (English ed.),2014 Jan,OUTC,Human,2042,
