,Ch2,IG,LR,MI
0,cell,patient,lipid,age
1,estrogen,review,pronounced,cancer
2,expression,expression,body,estrogen
3,female,risk,symptomatic,expression
4,gene,age,status,female
5,male,male,followup,followup
6,men,mortality,diagnose,hospital
7,mortality,gene,clinic,male
8,mouse,rate,variation,mechanism
9,pain,woman,surgery,men
10,patient,receive,hypertension,mortality
11,rat,cardiac,angiotensinconverting,mouse
12,review,men,active,patient
13,risk,estrogen,cardiogenic,review
14,woman,outcome,elevation,year
