,Ch2,IG,LR,MI
0,cell,patient,vitamin,cell
1,estrogen,review,woman woman,estrogen
2,expression,expression,high woman,expression
3,female,male,aim,gene
4,gene,woman,woman men,inhospital
5,male,rate,perform,lung
6,mortality,mortality,woman stroke,male
7,mouse,age,weight,men
8,pain,risk,surgery,mortality
9,patient,estrogen,multivariate analysis,mouse
10,rat,significantly,respect,myocardial infarction
11,review,men,history,patient
12,risk,polymorphism,see,review
13,symptom,smoking,december,woman
14,woman,clinical,lipid,year
