,JMI,MIFS,MIM,MRMR
0,examination,examination,examination,examination
1,accord,concern,hour,concern
2,hour,packyears,absolute,packyears
3,unstable,absolute,accord,absolute
4,heavy,healthy,improve,perform
5,absolute,decline,packyears,heavy
6,comprise,implantable,concern,healthy
7,improve,endpoint,heavy,hour
8,bleeding,take,perform,nonsmallcell
9,status,female,healthy,decline
10,option,mainly,unstable,improve
11,inconsistent,delay,nonsmallcell,metabolism
12,degree,allele,option,hypothesize
13,proportion,cox,sociodemographic,unstable
14,northern,elucidate,metabolism,major
