,Clinical_score,Clinical_words,Epidemiology_score,Epidemiology_words,Management_score,Management_words,Outcomes_score,Outcomes_words,Pathophysiology_score,Pathophysiology_words,Review_score,Review_words
0,3.41606150133853,morbidity,4.375821237594818,attention,4.086995842521487,congestive,5.223748197919778,fatality,2.2347476445967507,genotype,5.124190772564466,review
1,3.381905713487111,recurrent,4.208888282316198,socioeconomic,3.6976699390139323,drug,4.367166584442762,subsequent,2.0895948819708288,great,4.173531453157876,many
2,3.320738551229726,followup,3.4419403425381554,chinese,3.4859917454504954,respect,4.176256134974779,participate,2.0067478827288348,damage,2.74824652000473,search
3,3.3154575712356045,lipoprotein,3.256229999989735,resident,3.462759077103876,complete,4.161501920521597,achieve,1.8897408568059832,allele,2.5396387458885483,metaanalysis
4,3.223710753571426,phenotype,3.222049475745232,duration,3.336394536703205,individual,4.015696969870345,pulmonary,1.8395128772220997,mutation,2.417934504729091,effective
5,3.212038892542881,percutaneous,3.1944256508325317,intracerebral,3.099837047082086,investigation,3.7555817649998815,explain,1.7872594234747778,observe,2.3364737045459476,bias
6,3.180933391647925,reflect,3.189036997017646,comorbidities,3.0619112505985018,killip,3.4705283073269557,diuretic,1.7829872217187819,mouse,2.319646819492527,mechanism
7,3.029251199581875,size,3.118864236284579,author,2.9381685660438936,consistently,3.3394184657713537,retrospective,1.7407787954708107,alter,2.2643437481381516,sexspecific
8,2.991631574457119,reinfarction,3.095141321064857,stenosis,2.900359337860518,classification,3.280520540299199,generally,1.7228231059540653,oral,2.2455740669817827,understand
9,2.9872416133556605,diagnostic,3.0885474847419454,lack,2.8693662918706306,ageadjusted,3.2753595212979607,domain,1.602877507984663,concentration,2.232386471801153,article
