,Clinical_score,Clinical_words,Epidemiology_score,Epidemiology_words,Management_score,Management_words,Outcomes_score,Outcomes_words,Pathophysiology_score,Pathophysiology_words,Review_score,Review_words
0,6.08,higher female,7.99,men great,9.91,woman live,9.14,patient follow,7.24,female mouse,7.77,tumor growth
1,6.07,multicenter study,7.26,analysis data,8.35,emergency department,7.36,stroke scale,6.27,significantly elevate,6.21,review focus
2,5.42,chronic heart,6.68,cancer registry,7.0,control trial,7.04,infarction patient,6.24,sexual dimorphism,5.82,systematic review
3,5.01,determine use,6.44,national health,6.2,significantly less,6.88,undergo coronary,5.22,estrogen receptor,5.78,effect woman
4,4.86,identify woman,6.39,random sample,5.74,relate difference,6.78,sample patient,4.99,wall thickness,5.61,stroke also
5,4.67,stroke transient,6.27,rate increase,5.59,benefit woman,6.03,group patient,4.93,protein expression,5.2,animal model
6,4.57,factor receptor,6.25,woman follow,5.42,clinical angiographic,5.89,analyze gender,4.76,mouse model,5.06,lead cause
7,4.56,past year,6.04,woman show,5.31,blood sample,5.87,hospital mortality,4.76,dilate cardiomyopathy,5.01,review summarize
8,4.55,woman report,5.56,find men,5.22,investigate sex,5.87,woman take,4.58,study identify,4.96,experimental clinical
9,4.53,include study,5.49,influence gender,5.2,cancer nsclc,5.77,therapy men,4.57,difference observe,4.84,age sex
