Pubmed_ID,Review,Author,Title,Journal,Year,Subject,Species,Nr patients,Unnamed: 10,abstract
25412222,No," Theresa M Beckie Affiliation=College of Nursing, University of South Florida, Tampa, Florida (Drs Beckie, Groer, Kip, and Ji),",Biopsychosocial health disparities among young women enrolled in cardiac rehabilitation.,Journal of cardiopulmonary rehabilitation and prevention,2015 Mar-Apr,MANAG,Human,252,,"Our aim was to compare the biopsychosocial characteristics of young women with those of older women who were enrolled in cardiac rehabilitation (CR). The baseline characteristics of women who prematurely terminated CR participation were also explored.Baseline physiological and psychosocial indices of women ≤ 55 years compared with older women eligible for CR were evaluated 1 week before enrolling in either a traditional CR or a gender-specific, motivationally enhanced CR.A greater proportion of young women (n = 65) compared with their older counterparts (n = 187) were diagnosed with acute myocardial infarction during their index hospitalization. They demonstrated lower high-density lipoprotein cholesterol, higher total cholesterol/high-density lipoprotein cholesterol ratios, and greater body weight compared with older women and were more likely to be active smokers. Young women compared with older women reported significantly worse health perceptions, quality of life, optimism, hope, social support, and stress and significantly more symptoms of depression and anxiety. Women who prematurely terminated CR participation were younger, more obese, with worse quality of life, and greater symptoms of depression and anxiety compared with women completing CR.Notable differences in physiological and psychosocial profiles of young women compared with older women enrolled in CR were evident, placing them at high risk for nonadherence to secondary prevention interventions as well as increased risk for disease progression and subsequent cardiac adverse events. Continued existence of these health differentials represents an important public health problem and warrants further research to address these age-related and sex-specific health disparities among women with coronary heart disease."
25510395,No," Xin Zheng Affiliation=National Clinical Research Center of Cardiovascular Diseases, State Key Laboratory of Cardiovascular Disease, Fuwai Hospital, National Center for Cardiovascular Diseases, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing, People's Republic of China.,",Age-specific gender differences in early mortality following ST-segment elevation myocardial infarction in China.,Heart (British Cardiac Society),2015 Mar 1,OUTC,Human,11986,,"To assess whether younger, but not older, women in China have higher in-hospital mortality following ST-Segment Elevation Myocardial Infarction (STEMI) compared with men, and whether this relationship varied over the last decade or across rural/urban areas.We analysed a nationally representative sample of 11 986 patients with STEMI from 162 Chinese hospitals in 2001, 2006 and 2011, in the China PEACE-Retrospective AMI Study and compared in-hospital mortality between women and men with gender-age interactions in multivariable models.The overall in-hospital mortality rate was higher in women compared with men (17.2% vs 9.1%, p<0.0001; unadjusted OR 2.07, 95% CI 1.85 to 2.33). The unadjusted OR for mortality in women, compared with men, was 2.20 (95% CI 1.59 to 3.04), 2.21 (95% CI 1.74 to 2.79), 1.37 (95% CI 1.15 to 1.65) and 1.25 (95% CI 0.97 to 1.63) for ages <60, 60-69, 70-79 and ≥80 years, respectively. After adjustment for patient characteristics, hospital characteristics and year of study, the OR for mortality comparing women with men was 1.69 (95% CI 1.01 to 2.83), 1.64 (95% CI 1.24 to 2.19), 1.15 (95% CI 0.90 to 1.46) and 0.82 (95% CI 0.60 to 1.11) for ages <60, 60-69, 70-79 and ≥80 years, respectively. The gender-age interaction for mortality was statistically significant (p=0.009), even after adjustment for a wide range of confounders, and did not vary over time or across rural/urban areas.Among a Chinese population with STEMI, gender differences in early mortality were age-dependent and greatest in the younger groups <70 years of age."
25655011,No," Carolyn S P Lam Affiliation=National University Health System, Tower Block Level 9, 1E Kent Ridge Road, Singapore, 119228.,",Sex differences in clinical characteristics and outcomes after myocardial infarction: insights from the Valsartan in Acute Myocardial Infarction Trial (VALIANT).,European journal of heart failure,2015 Mar,OUTC,Human,14703,,"We examined the association of sex with clinical characteristics and outcomes in patients following myocardial infarction (MI) in the Valsartan in Acute Myocardial Infarction Trial (VALIANT).A total of 4570 women and 10 133 men with heart failure (HF), left ventricular systolic dysfunction or both were enrolled 0.5-10 days after myocardial infarction (MI) and followed for a median of 24.7 months. Compared with men, women were older, had more comorbidities, and were more likely to present in Killip Class III/IV and experience post-infarction angina or HF. After adjusting for baseline differences, both short-term and longer-term mortality were similar in men and women. However, women were more likely than men to experience the composite outcome of cardiovascular death, MI, HF, stroke, and resuscitation from cardiac arrest [adjusted hazard ratio (HR) 1.15; 95% confidence interval (CI); 1.06-1.24, P=0.001], mainly owing to an increased risk of hospitalization for HF (adjusted HR 1.36; 95% CI 1.22-1.52; P<0.001). In a subset of patients who underwent echocardiographic study (n=603), women had smaller left ventricular volumes indexed by body size than men but similar ejection fractions and similar changes in ventricular volumes from baseline to 1 month and 20 months.In VALIANT, the risk of HF following MI was higher in women than men after adjusting for age and comorbidities, although the risk of other fatal and non-fatal outcomes were similar. The higher long-term risk of HF in women appears to be independent of the extent of left ventricular systolic dysfunction or remodelling compared with men."
25634157,Yes," Kazuyuki Yahagi Affiliation=CVPath Institute, Gaithersburg, MD, USA.,",Sex differences in coronary artery disease: pathological observations.,Atherosclerosis,2015 Mar,REVIEW,Human,na,,"Cardiovascular disease (CVD) remains the most frequent cause of death in both men and women. Many studies on CVD have included mostly men, and the knowledge about coronary artery disease (CAD) in women has largely been extrapolated from studies primarily focused on men. The influence of various risk factors is different between men and women; untoward effects of smoking of CAD are greater in women than men. Furthermore, the effect of the menopause is important in women, with higher incidence of plaque erosion in young women versus greater incidence of plaque rupture in older women. This review focuses on differences in plaque morphology in men and women presenting with sudden coronary death and acute myocardial infarction. "
24815825,No," E Sulo Affiliation=Department of Global Public Health and Primary Care, University of Bergen, Bergen, Norway.,","Trends in 28-day and 1-year mortality rates in patients hospitalized for a first acute myocardial infarction in Norway during 2001-2009: a ""Cardiovascular disease in Norway"" (CVDNOR) project.",Journal of internal medicine,2015 Mar,OUTC,Human,115608,,"The aim of this study was to investigate the trends in 28-day and 1-year mortality rates in patients hospitalized for a first acute myocardial infarction (AMI) in Norway during the period 2001-2009. Potential age group and gender differences in these trends were also examined.In this retrospective nationwide cohort study, patients hospitalized for a first AMI between 2001 and 2009 were identified in the Cardiovascular Disease in Norway 1994-2009 (CVDNOR) project and followed for 1 year.Trends in 28-day and 1-year mortality [both all-cause and cardiovascular disease (CVD) mortality] were investigated.A total of 115,608 patients (60.6% men) were hospitalized for a first AMI during the study period. Mortality at 28 days was reduced annually by 3.8% overall and by 6.7%, 4.1% and 2.6% in patients aged 25-64, 65-84 and ≥85 years, respectively (all Ptrend < 0.001). In addition, 1-year all-cause mortality was reduced annually by 2.0% overall (Ptrend < 0.001) and by 3.7% (Ptrend = 0.02), 2.5% (Ptrend < 0.001) and 1.1% (Ptrend < 0.001) in patients aged 25-64, 65-84 and ≥85 years, respectively. Furthermore, 1-year CVD mortality was reduced overall by 6.2% annually; a reduction was observed in all age groups. Finally, 1-year non-CVD mortality increased annually overall by 3.9% due to an increase in patients aged ≥65 years.Mortaity at 28 days after the first AMI declinedin Norway between 2001 and 2009 in both men and women and in all age groups. All-cause mortality at 1 year also declined both in men and women due to decreases in CVD mortality rates, whilst non-CVD mortality rates increased amongst patients ≥65 years of age."
25859870,No," Ednei Luiz Antonio Affiliation=Laborat√É¬≥rio de Fisiologia e Fisiopatologia Card√É¬≠acas, Universidade Federal de S√É¬£o Paulo, S√É¬£o Paulo, SP, Brazil.,",Are there gender differences in left ventricular remodeling after myocardial infarction in rats?,Revista brasileira de cirurgia cardiovascular : √É¬≥rg√É¬£o oficial da Sociedade Brasileira de Cirurgia Cardiovascular,2015 Jan-Mar,PP,Rat,na,,"An unclear issue is whether gender may influence at cardiac remodeling after myocardial infarction (MI). We evaluated left ventricle remodeling in female and male rats post-MI.Rats were submitted to anterior descending coronary occlusion. Echocardiographic evaluations were performed on the first and sixth week post-occlusion to determine myocardial infarction size and left ventricle systolic function (FAC, fractional area change). Pulsed Doppler was applied to analyze left ventricle diastolic function using the following parameters: E wave, A wave, E/A ratio. Two-way ANOVA was applied for comparisons, complemented by the Bonferroni test. A P≤=0.05 was considered significant.There were no significant differences between genders for morphometric parameters on first (MI [Female (FE): 44.0 ± 5.0 vs. Male (MA): 42.0 ± 3.0%]; diastolic [FE: 0.04 ± 0.003 vs. MA: 0.037 ± 0.005, mm/g] and systolic [FE: 0.03 ± 0.0004 vs. MA: 0.028 ± 0.005, mm/g] diameters of left ventricle) and sixth (MI [FE: 44.0 ± 5.0 vs. MA: 42.0 ± 3.0, %]; diastolic [FE: 0.043 ± 0.01 vs. MA: 0.034 ± 0.005, mm/g] and systolic [FE: 0.035 ± 0.01 vs. MA: 0.027 ± 0.005, mm/g] of LV) week. Similar findings were reported for left ventricle functional parameters on first (FAC [FE: 34.0 ± 6.0 vs. MA: 32.0 ± 4.0, %]; wave E [FE: 70.0 ± 18.0 vs. MA: 73.0 ± 14.0, cm/s]; wave A [FE: 20.0 ± 12.0 vs. MA: 28.0 ± 13.0, cm/s]; E/A [FE: 4.9 ± 3.4 vs. MA: 3.3 ± 1.8]) and sixth (FAC [FE: 29.0 ± 7.0 vs. MA: 31.0 ± 7.0, %]; wave E [FE: 85.0 ± 18.0 vs. MA: 87.0 ± 20.0, cm/s]; wave A [FE: 20.0 ± 11.0 vs. MA: 28.0 ± 17.0, cm/s]; E/A [FE: 6.2 ± 4.0 vs. MA: 4.6 ± 3.4]) week.Gender does not influence left ventricle remodeling post-MI in rats."
25287767,No," Karl Fengler Affiliation=Department of Internal Medicine, Cardiology, University of Leipzig, Heart Center, Str√É¬ºmpellstra√É≈∏e 39, 04289, Leipzig, Germany.,",Gender differences in patients with cardiogenic shock complicating myocardial infarction: a substudy of the IABP-SHOCK II-trial.,Clinical research in cardiology : official journal of the German Cardiac Society,2015 Jan,OUTC,Human,600,,"Cardiogenic shock (CS) complicating acute myocardial infarction (AMI) is associated with high mortality. Previous studies regarding gender-specific differences in CS are conflicting and there are insufficient data for the presence of gender-associated differences in the contemporary percutaneous coronary intervention era. Aim of this study was therefore to investigate gender-specific differences in a large cohort of AMI patients with CS undergoing contemporary treatment.In the randomized Intra-aortic Balloon Pump in Cardiogenic Shock II (IABP-SHOCK II) trial, 600 patients with CS complicating AMI undergoing early revascularization were assigned to therapy with or without intra-aortic balloon pump. We compared sex-specific differences in these patients with regard to baseline and procedural characteristics as well as short- and long-term clinical outcome.Of 600 patients 187 (31%) were female. Women were significantly older than men and had a significantly lower systolic and diastolic blood pressure at presentation (p < 0.05 for all). Diabetes mellitus and hypertension were more frequent in women, whereas smoking was more frequent in men (p < 0.05 for all). Women showed a higher mortality within the first day after randomization (p = 0.004). However, after multivariable adjustment this numerical difference was no longer statistically significant. No gender-related differences in clinical outcome were observed after 1, 6 and 12 months of follow-up.In this large-scale multicenter study in patients with CS complicating AMI, women had a worse-risk profile in comparison to men. No significant gender-related differences in treatment as well as short- and long-term outcome were observed."
25497252,No," Matthew I Tomey Affiliation=The Icahn School of Medicine at Mount Sinai, New York, NY.,","Sex, adverse cardiac events, and infarct size in anterior myocardial infarction: an analysis of intracoronary abciximab and aspiration thrombectomy in patients with large anterior myocardial infarction (INFUSE-AMI).",American heart journal,2015 Jan,OUTC,Human,452,,"Women are more likely than men to experience adverse cardiac events after ST-elevation myocardial (STEMI). Whether differences in infarct size or reperfusion contribute to sex differences in outcomes is unknown.Women were older, were more commonly affected by hypertension and renal impairment, and had a 50.5-minute longer delay to reperfusion. There were no differences in infarct size, microvascular obstruction, or reperfusion success. At 30 days, major adverse cardiac events (MACE), defined as death, reinfarction, new-onset severe heart failure, or rehospitalization for heart failure, were more common in women (11.1% vs 5.4%, hazard ratio 2.09, 95% CI 1.03-4.27, P = .04). After multivariable adjustment, age, but not sex or time to reperfusion, was an independent predictor of MACE.In the INFUSE-AMI randomized trial, women with anterior STEMI experienced a higher rate of MACE, attributable to older age. Despite longer delay from symptom onset to reperfusion therapy, there was no difference between women and men in infarct size or reperfusion success."
25679303,No," Xiao Xu Affiliation=From the Department of Obstetrics, Gynecology and Reproductive Sciences (X.X.), Department of Emergency Medicine (G.D.), Section of Cardiovascular Medicine, Department of Internal Medicine (E.S., H.M.K.), and Robert Wood Johnson Foundation Clinical Scholars Program (H.M.K.), Yale University School of Medicine, New Haven, CT,",Sex differences in perceived stress and early recovery in young and middle-aged patients with acute myocardial infarction.,Circulation,2015 Feb 17,OUTC,Human,3572,,"Younger age and female sex are both associated with greater mental stress in the general population, but limited data exist on the status of perceived stress in young and middle-aged patients presenting with acute myocardial infarction.We examined sex difference in stress, contributing factors to this difference, and whether this difference helps explain sex-based disparities in 1-month recovery using data from 3572 patients with acute myocardial infarction (2397 women and 1175 men) 18 to 55 years of age. The average score of the 14-item Perceived Stress Scale at baseline was 23.4 for men and 27.0 for women (P<0.001). Higher stress in women was explained largely by sex differences in comorbidities, physical and mental health status, intrafamily conflict, caregiving demands, and financial hardship. After adjustment for demographic and clinical characteristics, women had worse recovery than men at 1 month after acute myocardial infarction, with mean differences in improvement score between women and men ranging from -0.04 for EuroQol utility index to -3.96 for angina-related quality of life (P<0.05 for all). Further adjustment for baseline stress reduced these sex-based differences in recovery to -0.03 to -3.63, which, however, remained statistically significant (P<0.05 for all). High stress at baseline was associated with significantly worse recovery in angina-specific and overall quality of life, as well as mental health status. The effect of baseline stress on recovery did not vary between men and women.Among young and middle-aged patients, higher stress at baseline is associated with worse recovery in multiple health outcomes after acute myocardial infarction. Women perceive greater psychological stress than men at baseline, which partially explains women's worse recovery."
25115966,No," Jennifer Yu Affiliation=Icahn School of Medicine at Mount Sinai, New York, New York,",Sex-based differences in bleeding and long term adverse events after percutaneous coronary intervention for acute myocardial infarction: three year results from the HORIZONS-AMI trial.,Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions,2015 Feb 15,MANAG,Human,3602,,"Studies have shown sex-based disparities in ST-segment elevation myocardial infarction (STEMI) management and prognosis. We sought to compare women and men undergoing primary percutaneous coronary intervention (PCI) for STEMI in a large, prospective, contemporary context.The Harmonizing Outcomes with Revascularization and Stents in Acute Myocardial Infarction (HORIZONS-AMI) trial randomized 3,602 patients (23.4% women and 76.6% men) with STEMI presenting within 12 hr of onset of symptoms to bivalirudin or heparin plus glycoprotein IIb/IIIa inhibitors and to PCI with drug-eluting or bare metal stents.Compared with men, women presented later after symptom onset and were more often treated with medical management alone (6.9% vs. 4.7%; P = 0.01). Women had significantly higher rates of 3-year major adverse cardiac events (MACE) and major bleeding. After adjusting for baseline differences, female sex remained an independent predictor of major bleeding (hazard ratio [HR] 1.81, 95% confidence interval [CI] 1.41-2.33; P < 0.0001) but not of MACE (HR 1.09; 95% CI 0.91-1.32; P = 0.35).This study found that women with STEMI are at increased risk of bleeding as compared to men. While female sex may not directly contribute to increased risk of MACE, it is, however, associated with the presence of comorbidities that increase the risk of ischemic events long-term. Further dedicated studies are needed to confirm these findings and to assess strategies to optimize both the initial emergent treatment and long-term management in this high-risk subset. © 2014 Wiley Periodicals, Inc."
